;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;50590470;02/28/2005;03:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12757800582838, -87.96098112479058];6039 N 39TH ST
1;50590517;02/28/2005;05:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11041436663973, -87.95159157372014];5127 N 31ST ST
2;50590543;02/28/2005;05:50 PM;4.0;THEFT FROM BUILDING;;;;;[43.113751500432684, -87.95551033236194];3412 W ROHR AV #3
3;50570072;02/26/2005;09:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106304301209285, -87.95660182895494];3501 W MOTHER DANIELS WA
4;50570111;02/26/2005;11:01 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15132464778698, -87.95769584142163];7343 N TEUTONIA AV
5;50570165;02/26/2005;03:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101018670552264, -87.94915962479058];4603 N 29TH ST
6;50570176;02/26/2005;05:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
7;50560011;02/25/2005;02:45 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14600108964743, -87.96569111036386];7047 N 43RD ST #2
8;50560043;02/25/2005;09:11 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11741149321933, -87.96122058090484];3902 W SHERIDAN AV #UPR
9;50560172;02/25/2005;03:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10717341326679, -87.9427553280341];4924 N 24TH PL
10;50550020;02/24/2005;07:36 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10551883819031, -87.96156013200395];4841 N 39TH ST
11;50550085;02/24/2005;11:35 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12269450952196, -87.94739140466844];2733 W CARMEN AV
12;50550091;02/24/2005;12:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11485899417161, -87.95630439353127];5348 N 35TH ST
13;50550240;02/24/2005;04:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107371413266776, -87.9589328280341];4944 N 37TH ST
14;50550248;02/24/2005;04:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10068689751833, -87.94458068898705];4588 N TEUTONIA AV
15;50550257;02/24/2005;05:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11218051716709, -87.94226120566677];2400 W VILLARD AV
16;50550311;02/24/2005;11:14 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12786535290346, -87.95213525031866];6073 N TEUTONIA AV
17;50540041;02/23/2005;08:50 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.126298413266795, -87.95849583135234];5976 N 37TH ST
18;50540258;02/23/2005;08:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13539944272581, -87.95259134055625];3212 W MILL RD
19;50530066;02/22/2005;12:39 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10472352596791, -87.96977983236194];4522 W HAMPTON AV #208
20;50530109;02/22/2005;03:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106904502914205, -87.97391862479058];4909 N 49TH ST
21;50520037;02/21/2005;08:27 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10164585152052, -87.93395369980972];4652 N 19TH ST
22;50520047;02/21/2005;09:33 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09299821426512, -87.93813497013694];4160 N 21ST ST
23;50520054;02/21/2005;10:00 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.125145920624384, -87.95311855603344];5920 N 32ND ST
24;50510047;02/20/2005;09:00 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10632657507645, -87.93920393738836];4888 N 22ND ST
25;50510096;02/20/2005;03:31 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10923600582839, -87.942790092042];5041 N 24TH PL
26;50500061;02/19/2005;10:14 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12755743660787, -87.964734960383];6056 N 42ND ST
27;50500098;02/19/2005;12:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1276746588955, -87.95971336078269];6044 N 38TH ST
28;50500116;02/19/2005;02:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110952239800326, -87.94264643738836];5134 N 24TH PL
29;50500136;02/19/2005;03:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
30;50500174;02/19/2005;07:12 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.115731994171625, -87.9623323607827];5400 N 40TH ST
31;50490047;02/18/2005;10:28 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10957696863639, -87.96013538631792];5062 N 38TH ST
32;50490062;02/18/2005;11:05 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14286083753314, -87.9569465892384];6900 N 37TH ST
33;50490097;02/18/2005;02:45 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11639003136361, -87.96239165753917];5435 N 40TH ST
34;50490131;02/18/2005;05:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
35;50480034;02/17/2005;08:12 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0985075029142, -87.94680065032581];4455 N 27TH ST
36;50490060;02/17/2005;02:00 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118225161809676, -87.95136434635597];5536 N 31ST ST
37;50470044;02/16/2005;08:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.097625573171875, -87.9430614684931];4456 N TEUTONIA AV
38;50470100;02/16/2005;12:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10288944463039, -87.93539765032581];4713 N 19TH PL
39;50470134;02/16/2005;02:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14135765150571, -87.95947615293942];6806 N 39TH ST
40;50470139;02/16/2005;02:43 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1167952828207, -87.95632061757723];5457 N 35TH ST
41;50460050;02/15/2005;10:00 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11218051716709, -87.94226120566677];2400 W VILLARD AV
42;50460062;02/15/2005;10:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10921686372555, -87.94156909925536];5039 N 24TH ST
43;50460091;02/15/2005;12:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10553683819032, -87.9666616608574];4845 N SHERMAN BL
44;50460141;02/15/2005;04:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10193318096825, -87.93147352925747];4672 N PARKWAY AV
45;50460172;02/15/2005;05:53 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1083469000194, -87.93759880990228];2022 W FAIRMOUNT AV
46;50450051;02/14/2005;10:15 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1298523799966, -87.96508853844993];4231 W DOUGLAS AV
47;50450121;02/14/2005;04:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10541841326679, -87.96266438631791];4836 N 40TH ST
48;50450145;02/14/2005;06:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09163122009349, -87.9381954190665];4112 N 21ST ST
49;50440040;02/13/2005;08:50 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11250239959124, -87.96009688505526];5231 N 38TH ST
50;50440051;02/13/2005;10:06 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12319307799066, -87.9597549190665];5808 N 38TH ST
51;50430080;02/12/2005;12:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100491550060845, -87.93278430544173];1827 W GLENDALE AV
52;50430097;02/12/2005;02:00 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12110465889549, -87.95738588631792];5686 N 36TH ST
53;50430133;02/12/2005;06:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10704008964743, -87.93695108425172];4927 N 20TH ST
54;50420052;02/11/2005;11:18 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.122248161809694, -87.96098333524746];5734 N 39TH ST
55;50420072;02/11/2005;01:05 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113276136274465, -87.95998336078269];5262 N 38TH ST
56;50420075;02/11/2005;01:19 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
57;50420077;02/11/2005;02:30 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12591205245542, -87.96457286410092];5954 N 42ND ST
58;50420084;02/11/2005;02:42 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV #9
59;50420119;02/11/2005;06:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10987386372554, -87.94156115753917];5073 N 24TH ST
60;50410042;02/10/2005;03:30 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1252660538404, -87.9532369400714];5925 N 32ND ST
61;50410081;02/10/2005;11:48 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090943513157306, -87.93790711076788];2041 W ATKINSON AV #302
62;50410114;02/10/2005;02:30 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.124345674995645, -87.9528270772695];5876 N 32ND ST #1
63;50390025;02/08/2005;07:45 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09117519461674, -87.9274359234988];1333 W FIEBRANTZ AV
64;50390032;02/08/2005;07:20 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15224669164409, -87.95799437748843];7409 N TEUTONIA AV #3
65;50390067;02/08/2005;12:27 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091415220093495, -87.94342292627985];4072 N 24TH PL
66;50390077;02/08/2005;12:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
67;50390130;02/08/2005;04:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109613502914186, -87.976369092042];5059 N 51ST BL
68;50390141;02/08/2005;05:43 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14842053173898, -87.95962375145709];3815 W GOOD HOPE RD
69;50590074;02/08/2005;03:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10904363307182, -87.96330138602946];5028 N 41ST ST
70;50380058;02/07/2005;09:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR #307
71;50380086;02/07/2005;11:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10456751875456, -87.94385155536962];2476 W HAMPTON AV
72;50380095;02/07/2005;10:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14625138190317, -87.96544337520942];7066 N 43RD ST
73;50380113;02/07/2005;02:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12899344617441, -87.95224624936446];6153 N TEUTONIA AV
74;50660234;02/07/2005;02:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094357884817356, -87.93421441185313];4208 N 19TH ST
75;50660786;02/06/2005;06:40 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.104254502885524, -87.93305299295953];1825 W HAMPTON AV
76;50670190;02/06/2005;04:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09765891008408, -87.94304545313574];4416 N TEUTONIA AV
77;50360002;02/05/2005;08:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09368330391251, -87.94930635356933];4238 N 29TH ST
78;50670243;02/05/2005;03:37 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.089832486005974, -87.944202];2462 W CAPITOL DR
79;50670248;02/05/2005;12:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10036334748115, -87.94452445201662];4569 N TEUTONIA AV
80;50350001;02/04/2005;07:39 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.130439922009344, -87.95603765753917];6171 N 35TH ST
81;50350034;02/04/2005;05:43 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129861255409544, -87.95230882240634];6201 N TEUTONIA AV
82;50670034;02/04/2005;12:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090820173173384, -87.95577849034376];4055 N 34TH ST
83;50670050;02/04/2005;03:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.141822752221486, -87.95623615294323];6824 N DARIEN ST
84;50340012;02/03/2005;08:22 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09896149321933, -87.94468227407813];2496 W RUBY AV
85;50340049;02/03/2005;06:52 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09176160032322, -87.9400132048587];4115 N TEUTONIA AV
86;50660607;02/03/2005;02:50 PM;4.0;THEFT FROM BUILDING;;;;;[43.11211328677317, -87.94123985954194];2350 W VILLARD AV
87;50670176;02/03/2005;04:42 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111926511541185, -87.95722008090483];3520 W VILLARD AV
88;50640751;02/02/2005;03:00 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09652736663975, -87.92931912479058];4375 N 15TH ST
89;50660943;02/02/2005;04:15 PM;4.0;THEFT FROM BUILDING;;;;;[43.1460861448728, -87.95725753499894];7057 N 37TH ST
90;50660951;02/02/2005;09:00 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11838758090485, -87.96342637910455];5540 N 41ST ST
91;50670091;02/02/2005;01:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0897394237487, -87.93711953506453];2000 W CAPITOL DR
92;50670102;02/02/2005;04:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106445838190325, -87.9441186503258];4891 N 25TH ST
93;50670116;02/02/2005;06:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09126495412208, -87.93824242221551];4100 N 21ST ST
94;50670117;02/02/2005;06:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09126495412208, -87.93824242221551];4100 N 21ST ST
95;50320009;02/01/2005;09:21 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11127716180968, -87.95638284246083];5168 N 35TH ST
96;50320015;02/01/2005;10:29 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10821777160513, -87.94846357613162];5000 N TEUTONIA AV
97;50320032;02/01/2005;03:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10083550432784, -87.95223072300767];3112 W GLENDALE AV
98;50660209;02/01/2005;10:00 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09826358090484, -87.93819232803409];4458 N 21ST ST
99;50660295;02/01/2005;12:30 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.100234413266776, -87.95040437520942];4556 N 30TH ST
100;50660713;02/01/2005;03:30 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11188648124544, -87.9622425];3927 W VILLARD AV
