Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
061200018;04/30/2006;03:40 AM;4.0;MOTOR VEHICLE THEFT;;;6263 N TEUTONIA AV
061200079;04/30/2006;01:46 PM;7.0;MOTOR VEHICLE THEFT;;;4175 N 22ND ST
061200090;04/30/2006;02:42 PM;7.0;THEFT FROM MOTOR VEHICLE;;;4030 N TEUTONIA AV
061200097;04/30/2006;03:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4914 N 37TH ST
061200105;04/30/2006;02:56 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;2819 W CARMEN AV
061200112;04/30/2006;02:44 PM;4.0;ROBBERY;;;6930 N TEUTONIA AV
061200136;04/30/2006;07:27 PM;7.0;MOTOR VEHICLE THEFT;;;4820 N 40TH ST
061200155;04/30/2006;09:33 PM;7.0;SIMPLE ASSAULT;;;3323 W VILLARD AV
061190008;04/29/2006;12:07 AM;5.0;MOTOR VEHICLE THEFT;;;4057 N GREEN BAY AV
061190009;04/29/2006;12:15 AM;7.0;AGGRAVATED ASSAULT;;;4053-A N 26TH ST
061190028;04/29/2006;01:53 AM;7.0;ROBBERY;;;4800 W HAMPTON AV
061190030;04/29/2006;02:47 AM;7.0;SIMPLE ASSAULT;;;4903 N 42ND ST
061190038;04/29/2006;05:42 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4192 N 22ND ST
061190044;04/29/2006;07:17 AM;4.0;AGGRAVATED ASSAULT;;;2801 W CUSTER AV #219
061190069;04/29/2006;09:46 AM;7.0;MOTOR VEHICLE THEFT;;;4863 N 40TH ST
061190081;04/29/2006;11:03 AM;7.0;SIMPLE ASSAULT;;;5021 N 22ND ST
061190087;04/29/2006;11:13 AM;4.0;SIMPLE ASSAULT;;;5537 N 35TH ST #UPR
061190107;04/29/2006;01:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4644 N 31ST ST
061190108;04/29/2006;01:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5358 N 39TH ST
061190111;04/29/2006;02:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5446 N 38TH ST
061190123;04/29/2006;03:23 PM;4.0;ALL OTHER LARCENY;;;5808 N 34TH ST
061190161;04/29/2006;06:48 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3001 W SILVER SPRING DR
061190194;04/29/2006;10:24 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;3310 W SILVER SPRING DR #5
061190197;04/29/2006;10:28 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3806 W DOUGLAS AV
061190197;04/29/2006;10:28 PM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;3806 W DOUGLAS AV
061200004;04/29/2006;11:52 PM;5.0;MOTOR VEHICLE THEFT;;;4057 N GREEN BAY AV
061180050;04/28/2006;10:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4242 N 17TH ST
061180052;04/28/2006;10:11 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6907 N TEUTONIA AV #4
061180072;04/28/2006;12:31 PM;4.0;ALL OTHER LARCENY;;;5827 N 40TH ST
061180073;04/28/2006;09:31 AM;7.0;SHOPLIFTING;;;3800 W HAMPTON AV
061180098;04/28/2006;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;1827 W GLENDALE AV
061180104;04/28/2006;02:57 PM;4.0;SIMPLE ASSAULT;;;5517 N 41ST ST
061180121;04/28/2006;05:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;6883 N DARIEN ST
061180142;04/28/2006;06:01 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5287 N 28TH ST #LOWER
061180146;04/28/2006;04:27 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5929 N 34TH ST
061180162;04/28/2006;08:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5175 N TEUTONIA AV
061170016;04/27/2006;02:32 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2111 W COLFAX PL
061170041;04/27/2006;08:10 AM;4.0;MOTOR VEHICLE THEFT;;;4811 W WOOLWORTH AV
061170043;04/27/2006;08:11 AM;7.0;SIMPLE ASSAULT;;;4649 N 30TH ST #A
061170046;04/27/2006;09:02 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5501 N 34TH ST
061170061;04/27/2006;08:26 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4858 N 19TH PL
061170085;04/27/2006;10:29 AM;4.0;AGGRAVATED ASSAULT;KIDNAPING;;4030 W GREEN TREE RD
061170089;04/27/2006;01:27 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4628 W STARK ST
061170149;04/27/2006;03:16 PM;4.0;ALL OTHER LARCENY;;;5810 N 41ST ST
061170176;04/27/2006;07:28 PM;7.0;MOTOR VEHICLE THEFT;;;4053 N 26TH ST
061170179;04/27/2006;08:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3100 W CAMERON AV
