Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
060310026;01/31/2006;04:16 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4055 N TEUTONIA AV
060310030;01/31/2006;07:39 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4603 N 29TH ST #6
060310043;01/31/2006;07:08 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;4901 W GOOD HOPE RD
060310055;01/31/2006;10:08 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4401 N 28TH ST
060310058;01/31/2006;08:47 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;1817 W OLIVE ST
060310064;01/31/2006;10:09 AM;7.0;MOTOR VEHICLE THEFT;;;4852 N 26TH ST
060310095;01/31/2006;12:36 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6200 N 39TH ST
060310096;01/31/2006;01:35 PM;7.0;ALL OTHER LARCENY;;;1801 W OLIVE ST
060310122;01/31/2006;03:07 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4101 W KIEHNAU AV
060310156;01/31/2006;04:02 PM;5.0;MOTOR VEHICLE THEFT;;;1203 W HOPE AV
060310194;01/31/2006;05:46 PM;7.0;ALL OTHER LARCENY;;;2460 W CAPITOL DR
060300010;01/30/2006;01:44 AM;4.0;MOTOR VEHICLE THEFT;;;5377 N 38TH ST
060300042;01/30/2006;06:36 AM;4.0;MOTOR VEHICLE THEFT;;;3010 W BOBOLINK AV
060300046;01/30/2006;08:40 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4518 N 29TH ST
060300081;01/30/2006;10:10 AM;4.0;ALL OTHER LARCENY;;;6400 N 43RD ST
060300086;01/30/2006;10:09 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;5070 N 35TH ST
060300092;01/30/2006;12:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4631 W STARK ST
060300106;01/30/2006;12:37 PM;7.0;SIMPLE ASSAULT;;;5053 N 38TH PL
060300109;01/30/2006;01:00 PM;7.0;THEFT FROM MOTOR VEHICLE;;;2475 W ROOSEVELT DR
060300117;01/30/2006;02:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4522 N 30TH ST
060300143;01/30/2006;03:03 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2601 W HAMPTON AV
060300184;01/30/2006;03:12 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4921 N 25TH ST
060300214;01/30/2006;10:43 PM;4.0;THEFT FROM MOTOR VEHICLE;;;2733 W CARMEN AV
060300216;01/30/2006;11:07 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2733 W CARMEN AV
060300217;01/30/2006;10:26 PM;7.0;MOTOR VEHICLE THEFT;;;2604 W CAPITOL DR
060310050;01/30/2006;11:46 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3806 W DOUGLAS AV
060290017;01/29/2006;03:37 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;5512 N 31ST ST #APT1
060290021;01/29/2006;04:11 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4363 N 27TH ST
060290039;01/29/2006;08:35 AM;4.0;MOTOR VEHICLE THEFT;;;5301 N TEUTONIA AV #311
060290047;01/29/2006;09:42 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;1737 W HAMPTON AV
060290051;01/29/2006;10:58 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4958 N 44TH ST
060290099;01/29/2006;02:09 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6000 N TEUTONIA AV
060290147;01/29/2006;07:16 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4875 N 20TH ST
060290148;01/29/2006;07:19 PM;7.0;ROBBERY;;;3828 W HAMPTON AV
060290149;01/29/2006;08:07 PM;7.0;SIMPLE ASSAULT;;;4277 N TEUTONIA AV #2
060290166;01/29/2006;09:35 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4365 N 27TH ST
060290168;01/29/2006;09:19 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;1801 W OLIVE ST
060300001;01/29/2006;10:31 PM;7.0;SIMPLE ASSAULT;;;4070 N 18TH ST
060310005;01/29/2006;10:18 PM;7.0;SIMPLE ASSAULT;;;4129 W VILLARD AV
060280032;01/28/2006;03:52 AM;4.0;MOTOR VEHICLE THEFT;;;2802 W VILLARD AV
060280038;01/28/2006;05:16 AM;7.0;AGGRAVATED ASSAULT;;;1900 W CAPITOL DR
060280042;01/28/2006;05:33 AM;5.0;ROBBERY;;;4427 N GREEN BAY AV
060280044;01/28/2006;05:16 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;2825 W ATKINSON AV #5
060280049;01/28/2006;07:26 AM;4.0;MOTOR VEHICLE THEFT;;;6155 N 40TH ST
060280077;01/28/2006;11:15 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5356 N LONG ISLAND DR
060280090;01/28/2006;12:18 PM;7.0;ALL OTHER LARCENY;;;5075 N SHERMAN BL
060280092;01/28/2006;11:34 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4300 N 18TH ST
060280121;01/28/2006;02:33 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;6656 N 51ST ST
060280128;01/28/2006;03:21 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;6056 N 41ST ST
060280156;01/28/2006;05:05 PM;4.0;THEFT FROM MOTOR VEHICLE;;;4210 W SILVER SPRING DR
060280167;01/28/2006;06:44 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3829 W FAIRMOUNT AV
060280171;01/28/2006;05:51 PM;4.0;SIMPLE ASSAULT;;;5200 N TEUTONIA AV
060280178;01/28/2006;07:34 PM;5.0;MOTOR VEHICLE THEFT;;;1200 W CAPITOL DR
060280196;01/28/2006;10:30 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;7118 N 46TH ST
060290001;01/28/2006;09:09 PM;7.0;MOTOR VEHICLE THEFT;;;4970 N 53RD ST
060270016;01/27/2006;01:43 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;2222 W CAPITOL DR
060270051;01/27/2006;08:56 AM;7.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;5175 N TEUTONIA AV
060270053;01/27/2006;09:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5107 N 21ST ST
060270067;01/27/2006;10:36 AM;7.0;SIMPLE ASSAULT;;;2802 W ATKINSON AV #101
