;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;62120049;07/31/2006;06:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09943715430787, -87.94405178437856];4517 N TEUTONIA AV
1;62120080;07/31/2006;09:06 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.121889670552264, -87.96226115753917];5717 N 40TH ST
2;62120094;07/31/2006;07:26 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.121889670552264, -87.96226115753917];5717 N 40TH ST
3;62120106;07/31/2006;10:37 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10469695836204, -87.95561056086889];3400 W HAMPTON AV
4;62120145;07/31/2006;12:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.094484136274474, -87.94681389353127];4276 N 27TH ST
5;62120185;07/31/2006;02:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
6;62110203;07/30/2006;11:10 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10696148958399, -87.94792203583566];4923 N TEUTONIA AV #4
7;62100071;07/29/2006;08:39 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1439825072311, -87.95555517986078];6945 N TEUTONIA AV
8;62100084;07/29/2006;09:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12694150619265, -87.96238736793907];6017 N 40TH ST
9;62100102;07/29/2006;10:46 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10812748845882, -87.94986277990651];2925 W FAIRMOUNT AV
10;62090105;07/28/2006;01:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14850250620374, -87.97384358381903];4933 W GOOD HOPE RD
11;62080061;07/27/2006;09:26 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.118468580904846, -87.96342637910455];5544 N 41ST ST
12;62080106;07/27/2006;01:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10835027007487, -87.96663627007489];4300 W FAIRMOUNT AV
13;62080174;07/27/2006;07:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11092056774676, -87.96929791134518];4526 W EGGERT PL
14;62070024;07/26/2006;01:57 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11190904974128, -87.95041763625309];3030 W VILLARD AV
15;62070087;07/26/2006;08:20 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.14378200765677, -87.95550192216135];6933 N TEUTONIA AV #4
16;62070217;07/26/2006;06:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.11429209908247, -87.95019943219422];5329 N TEUTONIA AV
17;62060072;07/25/2006;10:11 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.11146844601536, -87.97627338242278];5160 N 51ST BL
18;62060093;07/25/2006;10:58 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.089892468520816, -87.93625382763007];1960 W ATKINSON AV
19;62060216;07/25/2006;06:08 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09779212418407, -87.93502490559206];1900 W CORNELL ST
20;62050099;07/24/2006;12:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10160232944776, -87.94789636078269];4632 N 28TH ST
21;62040060;07/23/2006;08:53 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12097144936225, -87.95293132944775];3202 W THURSTON AV
22;62040110;07/23/2006;02:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.0995231829015, -87.95040465803011];4522 N 30TH ST
23;62030080;07/22/2006;11:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11289803136361, -87.95886913200395];5245 N 37TH ST
24;62030140;07/22/2006;04:57 PM;7.0;THEFT FROM BUILDING;;;;[43.105472465722215, -87.9352659190665];4850 N 19TH PL
25;62030167;07/22/2006;10:23 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.146494779906504, -87.96312013921731];7073 N 41ST ST
26;62020079;07/21/2006;10:22 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.13680650678068, -87.96362344463039];4105 W KIEHNAU AV
27;62020099;07/21/2006;11:31 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10088540326975, -87.94788321662126];4600 N 28TH ST
28;62020101;07/21/2006;11:44 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.150212943101174, -87.95733497241596];7289 N TEUTONIA AV
29;62020121;07/21/2006;01:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10958482653356, -87.94030291185312];5058 N 23RD ST
30;62020165;07/21/2006;02:27 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09512837414156, -87.9417807512842];4290 N TEUTONIA AV
31;62010157;07/20/2006;03:24 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10941592200936, -87.95897157372015];5053 N 37TH ST
32;62000066;07/19/2006;09:35 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD
33;62000077;07/19/2006;09:38 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09130839246342, -87.93969231678138];4074 N TEUTONIA AV
34;62000135;07/19/2006;02:43 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09081099417162, -87.92821591185313];4060 N 14TH ST
35;62000209;07/19/2006;07:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.10524199639332, -87.97642055637922];4823 N 51ST BL
36;62000251;07/19/2006;10:45 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10930607799065, -87.95643385688754];5048 N 35TH ST
37;61990092;07/18/2006;09:23 AM;4.0;THEFT FROM BUILDING;;;;[43.1370915239487, -87.95650338634658];3525 W KIEHNAU AV
38;61990096;07/18/2006;11:06 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD #20
39;61990193;07/18/2006;06:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14209478573488, -87.96322857372014];6837 N 41ST ST
40;61980091;07/17/2006;12:16 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1439825072311, -87.95555517986078];6945 N TEUTONIA AV
41;61970075;07/16/2006;08:44 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10694058673323, -87.96505812479059];4921 N 42ND ST #A
42;61970099;07/16/2006;11:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10632794754457, -87.94412862479058];4885 N 25TH ST
43;61970105;07/16/2006;11:49 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09574316180968, -87.95045385356933];4322 N 30TH ST
44;61970152;07/16/2006;02:56 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.089797460470756, -87.94178147155058];2328 W CAPITOL DR
45;61970196;07/16/2006;05:20 PM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.10729346047075, -87.94942158090484];2906 W CAMERON AV
46;61960084;07/15/2006;11:21 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.13373198461371, -87.95077303813456];3125 W MILL RD
47;61960091;07/15/2006;12:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1180361618097, -87.96227386078269];5526 N 40TH ST
48;61960117;07/15/2006;02:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10775824562873, -87.96773588631791];4958 N 44TH ST
49;61950092;07/14/2006;11:55 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.092828785734895, -87.93821952264969];4157 N 21ST ST
50;61950103;07/14/2006;12:57 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10694058673323, -87.96505812479059];4921 N 42ND ST #A
51;61950116;07/14/2006;02:42 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10618416763808, -87.96390013200394];4873 N 41ST ST
52;61950133;07/14/2006;04:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10568075017866, -87.93930108704696];4876 N 22ND ST
53;61940040;07/13/2006;05:01 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09380832944774, -87.94337587189119];4248 N 24TH PL
54;61940082;07/13/2006;11:28 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.117074031363614, -87.95996962089545];5469 N 38TH ST
55;61920041;07/11/2006;07:28 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14840567863646, -87.96464683931823];4213 W GOOD HOPE RD
56;61910023;07/10/2006;07:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12941392200935, -87.9597316608574];6125 N 38TH ST
57;61910027;07/10/2006;07:46 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12849701798925, -87.96731026752403];6102 N HOPKINS ST
58;61910030;07/10/2006;07:21 AM;7.0;THEFT FROM MOTOR VEHICLE;ALL OTHER OFFENSES;;;[43.107329460470744, -87.95240172300768];3122 W CAMERON AV
59;61910045;07/10/2006;07:45 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.124837720786, -87.95166669556788];5909 N TEUTONIA AV #8
60;61910048;07/10/2006;09:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08974029808414, -87.93435497013695];4002 N 19TH ST
61;61910052;07/10/2006;07:26 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09130839246342, -87.93969231678138];4074 N TEUTONIA AV
62;61910124;07/10/2006;02:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.105463947544564, -87.94286914311245];4845 N 24TH PL
63;61910130;07/10/2006;02:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08982951960866, -87.94096693360511];2300 W CAPITOL DR
64;61910203;07/10/2006;07:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.111877481245465, -87.95850202553522];3621 W VILLARD AV
65;61910213;07/10/2006;08:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.090342994171635, -87.92699288631792];4040 N 13TH ST
66;61900094;07/09/2006;12:05 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10884777990651, -87.95285862479058];5029 N 32ND ST
67;61900192;07/09/2006;08:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.13385948456368, -87.97222252553523];4707 W MILL RD
68;61890103;07/08/2006;12:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.10551883819031, -87.96156013200395];4841 N 39TH ST
69;61880017;07/07/2006;01:55 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10550450678067, -87.97318977407812];4813 W LUSCHER AV
70;61880032;07/07/2006;05:46 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.14936550214187, -87.95908230358594];7234 N 38TH ST
71;61880041;07/07/2006;06:20 AM;4.0;THEFT FROM BUILDING;;;;[43.141771485451585, -87.95623976256624];6822 N DARIEN ST #3
72;61880107;07/07/2006;12:57 PM;4.0;THEFT FROM BUILDING;;;;[43.13161903664372, -87.96082336799604];6200 N 39TH ST
73;61870069;07/06/2006;10:28 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
74;61870073;07/06/2006;10:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1191045650645, -87.95106163474526];3001 W SILVER SPRING DR
75;61870100;07/06/2006;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10935820206008, -87.96212975073595];5056 N HOPKINS ST
