Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
070900006;03/31/2007;12:30 AM;4.0;SIMPLE ASSAULT;;;;;3120 W VILLARD AV
070900007;03/31/2007;12:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;2728 W BOBOLINK AV
070900014;03/31/2007;02:27 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4923 W VILLARD AV
070900023;03/31/2007;03:32 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4667 N 19TH ST
070900025;03/31/2007;05:09 AM;7.0;ALL OTHER LARCENY;;;;;2300 W HAMPTON AV
070900037;03/31/2007;09:40 AM;7.0;ARSON;;;;;5174 N 35TH ST
070900048;03/31/2007;08:27 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2801 W CUSTER AV
070900049;03/31/2007;07:38 AM;4.0;AGGRAVATED ASSAULT;;;;;5536 N 31ST ST #11
070900055;03/31/2007;08:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3125 W MILL RD
070900092;03/31/2007;12:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1600 W CAPITOL DR
070900108;03/31/2007;01:34 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4187 N 21ST ST
070900141;03/31/2007;05:15 PM;7.0;SIMPLE ASSAULT;;;;;2507 W ATKINSON AV #A
070900175;03/31/2007;08:12 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5508 N 38TH ST #A
070900182;03/31/2007;09:35 PM;7.0;SIMPLE ASSAULT;;;;;4933 N 46TH ST
070890035;03/30/2007;07:12 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4922 W FAIRMOUNT AV
070890058;03/30/2007;09:09 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4021 N 24TH PL
070890117;03/30/2007;01:55 PM;7.0;AGGRAVATED ASSAULT;;;;;4260 N 27TH ST
