;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;73340184;11/30/2007;08:24 PM;4.0;THEFT FROM BUILDING;;;;;[43.14414959020971, -87.95559956127698];6955 N TEUTONIA AV #4
1;73330133;11/29/2007;02:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1095590313636, -87.95896813200395];5063 N 37TH ST
2;73320047;11/28/2007;08:21 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.126649993190554, -87.96350510928889];4110 W FLORIST AV
3;73320059;11/28/2007;09:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.133193489901124, -87.97072108673322];4618 W WOOLWORTH AV
4;73320088;11/28/2007;08:55 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.118197994171624, -87.94621535299241];5550 N 27TH ST #3
5;73320197;11/28/2007;06:46 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.126389922009366, -87.95975061368208];5973 N 38TH ST
6;73310030;11/27/2007;03:31 AM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.10465548600598, -87.96370033236194];4030 W HAMPTON AV
7;73310063;11/27/2007;10:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10904619900168, -87.94780159925536];5041 N 28TH ST
8;73310090;11/27/2007;08:27 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11114548211083, -87.96469133819032];4130 W EGGERT PL
9;73310113;11/27/2007;02:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0985435029142, -87.94679909536022];4461 N 27TH ST
10;73300185;11/26/2007;05:55 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12601994809283, -87.9518999230476];5995 N TEUTONIA AV
11;73300203;11/26/2007;08:17 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
12;73280019;11/24/2007;03:35 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11188029080677, -87.97535433618351];5025 W VILLARD AV
13;73270030;11/23/2007;08:13 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1026284446304, -87.94794763200395];4703 N 28TH ST
14;73260126;11/22/2007;10:34 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08995428084138, -87.92709595546734];4027 N 13TH ST
15;73250153;11/21/2007;07:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12786535290346, -87.95213525031866];6073 N TEUTONIA AV
16;73240066;11/20/2007;10:56 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111901725200184, -87.97781437692235];5221 W VILLARD AV
17;73240149;11/20/2007;04:58 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08991547547438, -87.95180305536961];3040 W CAPITOL DR
18;73240185;11/20/2007;08:42 PM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11774983819032, -87.95266062479058];5515 N 32ND ST
19;73230112;11/19/2007;02:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104520507646065, -87.94923299999999];2900 W HAMPTON AV
20;73230119;11/19/2007;02:56 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09817500582838, -87.95046912479059];4445 N 30TH ST
21;73230236;11/19/2007;11:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10347496863639, -87.93809438631791];4740 N 21ST ST
