Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
081210017;04/30/2008;05:26 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4557 N 24TH ST
081210030;04/30/2008;07:19 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5342 N 35TH ST #LOWER
081210067;04/30/2008;05:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;7123 N TEUTONIA AV
081210078;04/30/2008;11:37 AM;4.0;SIMPLE ASSAULT;;;;;5908 N SHERMAN BL
081210142;04/30/2008;04:15 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;5062 N 25TH ST
081210153;04/30/2008;01:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;5556 N 39TH ST
081210187;04/30/2008;09:06 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4703 N 19TH ST
081200062;04/29/2008;09:03 AM;7.0;ALL OTHER LARCENY;;;;;4267A N 28TH ST
081200070;04/29/2008;10:30 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6109 N 39TH ST
081200084;04/29/2008;10:40 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4051 N 15TH ST
081200086;04/29/2008;08:58 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7027 N 43RD ST #7
081210006;04/29/2008;09:40 PM;7.0;AGGRAVATED ASSAULT;;;;;3921 W STARK ST
081190036;04/28/2008;08:14 AM;5.0;ALL OTHER LARCENY;;;;;4909 N 25TH ST
081190059;04/28/2008;09:48 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4729 N 29TH ST
081190063;04/28/2008;08:43 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4024 N 24TH PL
081190068;04/28/2008;09:32 AM;7.0;PURSE SNATCHING;;;;;3630 W HAMPTON AV
081190091;04/28/2008;12:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4614 N TEUTONIA AV
081190097;04/28/2008;11:35 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5268 N 35TH ST
081190098;04/28/2008;12:47 PM;5.0;ALL OTHER LARCENY;;;;;4148 N 16TH ST
081190105;04/28/2008;01:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;4356 N 20TH ST
081190124;04/28/2008;01:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4242 N 26TH ST
081190173;04/28/2008;04:57 PM;4.0;AGGRAVATED ASSAULT;;;;;5341 N 39TH ST
081190174;04/28/2008;05:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;7005 N TEUTONIA AV
081190188;04/28/2008;05:38 PM;4.0;SIMPLE ASSAULT;;;;;7061 N TEUTONIA AV #203
081190237;04/28/2008;09:30 PM;4.0;ROBBERY;;;;;2800 W BOBOLINK AV
081180003;04/27/2008;06:08 AM;4.0;ROBBERY;;;;;7123 N TEUTONIA AV
081180030;04/27/2008;03:35 AM;4.0;SIMPLE ASSAULT;;;;;5542 N 38TH ST
081180044;04/27/2008;07:34 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4282 N 28TH ST
081180045;04/27/2008;08:26 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4260 N 28TH ST
081180065;04/27/2008;09:03 AM;5.0;MOTOR VEHICLE THEFT;;;;;2600 W GLENDALE AV
081180082;04/27/2008;12:51 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4611 W WOOLWORTH AV
081180092;04/27/2008;12:37 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5250 N 35TH ST
081180115;04/27/2008;01:57 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4605 W WOOLWORTH AV
081180172;04/27/2008;05:42 PM;5.0;ALL OTHER LARCENY;;;;;2500 W GLENDALE AV
081180185;04/27/2008;09:20 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4847 N 22ND ST
081180215;04/27/2008;11:03 PM;5.0;ALL OTHER LARCENY;;;;;2620 W CAPITOL DR
081170012;04/26/2008;12:53 AM;4.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;;6911 N 42ND ST
081170046;04/26/2008;05:57 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4377 N 28TH ST
081170057;04/26/2008;08:33 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5103 N 31ST ST
081170066;04/26/2008;09:16 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5256 N TEUTONIA AV
081170069;04/26/2008;09:31 AM;4.0;ALL OTHER LARCENY;;;;;5829 N 33RD ST
081170074;04/26/2008;08:05 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5630 N TEUTONIA AV
081170081;04/26/2008;10:08 AM;4.0;SIMPLE ASSAULT;;;;;6921 N TEUTONIA AV #3
081170106;04/26/2008;12:51 PM;7.0;AGGRAVATED ASSAULT;;;;;3819 W FAIRMOUNT AV
081170107;04/26/2008;12:52 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4415 N 28TH ST
081170126;04/26/2008;12:57 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6918 N TEUTONIA AV
