Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
080310022;01/31/2008;05:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;5418 N 36TH ST
080310041;01/31/2008;09:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6429 N 42ND ST
080310042;01/31/2008;08:56 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4810 N TEUTONIA AV
080310047;01/31/2008;09:44 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4154 N 14TH ST
080310049;01/31/2008;09:32 AM;4.0;SIMPLE ASSAULT;;;;;1301 W SILVER SPRING DR
080310061;01/31/2008;09:23 AM;4.0;ALL OTHER LARCENY;;;;;5632A N 36TH ST
080310065;01/31/2008;10:55 AM;7.0;MOTOR VEHICLE THEFT;;;;;4905 N 37TH ST
080310087;01/31/2008;12:46 PM;5.0;SIMPLE ASSAULT;;;;;4456 N TEUTONIA AV
080310100;01/31/2008;02:34 PM;7.0;AGGRAVATED ASSAULT;;;;;4909 N 39TH ST #14
080310100;01/31/2008;02:34 PM;7.0;SIMPLE ASSAULT;;;;;4909 N 39TH ST #14
080310164;01/31/2008;06:56 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;5034 N 27TH ST
080310185;01/31/2008;08:57 PM;5.0;SIMPLE ASSAULT;;;;;4769 N 21ST ST #1
080300014;01/30/2008;02:56 AM;7.0;ROBBERY;;;;;3927 W VILLARD AV
080300015;01/30/2008;03:07 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5110 W HAMPTON AV
080300032;01/30/2008;09:31 AM;5.0;AGGRAVATED ASSAULT;;;;;4519 N 21ST ST
080300043;01/30/2008;01:20 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1931 W OLIVE ST
080300074;01/30/2008;05:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;4375 N 15TH ST
080300086;01/30/2008;05:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4945 N 42ND ST
080300091;01/30/2008;04:12 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5448 N 41ST ST
080300096;01/30/2008;03:39 PM;4.0;THEFT FROM BUILDING;;;;;6047 N 42ND ST
080300098;01/30/2008;05:00 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1801 W OLIVE ST
080300100;01/30/2008;06:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4751 N 29TH ST
080300123;01/30/2008;08:26 PM;5.0;SIMPLE ASSAULT;;;;;4305 N TEUTONIA AV
080300143;01/30/2008;10:10 PM;5.0;ROBBERY;;;;;2131 W ROOSEVELT DR
080290018;01/29/2008;05:00 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5226 W HAMPTON AV
080290053;01/29/2008;09:35 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4059 N 25TH ST
080290063;01/29/2008;10:33 AM;4.0;SIMPLE ASSAULT;;;;;5560 N 27TH ST
080290071;01/29/2008;11:29 AM;4.0;SHOPLIFTING;;;;;6201 N TEUTONIA AV
080290079;01/29/2008;12:42 PM;4.0;SIMPLE ASSAULT;;;;;5413 N 38TH ST #LWR
080290085;01/29/2008;01:18 PM;5.0;ROBBERY;;;;;4364 N 15TH ST
080290124;01/29/2008;02:21 PM;4.0;SIMPLE ASSAULT;;;;;6429 N 42ND ST
080290146;01/29/2008;06:29 PM;7.0;SIMPLE ASSAULT;ALL OTHER OFFENSES;;;;5053-A N 37TH ST
080290154;01/29/2008;04:53 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4665 N 28TH ST
080290156;01/29/2008;05:45 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4552 N 28TH ST
080290163;01/29/2008;05:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;1801 W OLIVE ST
080290170;01/29/2008;09:32 PM;5.0;SIMPLE ASSAULT;;;;;4396 N 27TH ST #3
080280019;01/28/2008;03:06 AM;5.0;AGGRAVATED ASSAULT;;;;;2636 W CORNELL ST
080280021;01/28/2008;04:10 AM;5.0;ROBBERY;;;;;2430 W ATKINSON AV
080280032;01/28/2008;06:30 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5550 N 27TH ST #1
080280080;01/28/2008;12:44 PM;5.0;MOTOR VEHICLE THEFT;;;;;4304 N 19TH ST
080280083;01/28/2008;02:01 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3000 W CAPITOL DR
080280084;01/28/2008;02:05 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4485 N TEUTONIA AV
080280094;01/28/2008;03:12 PM;7.0;MOTOR VEHICLE THEFT;;;;;4401 N 28TH ST
080280104;01/28/2008;03:05 PM;5.0;AGGRAVATED ASSAULT;;;;;4316 N 25TH ST
080280164;01/28/2008;07:02 PM;4.0;SIMPLE ASSAULT;LIQUOR LAW VIOLATIONS;;;;6171 N 35TH ST
080280165;01/28/2008;07:01 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5555 N 33RD ST
080280166;01/28/2008;05:37 PM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;5517 N 40TH ST
080280175;01/28/2008;08:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;4756 N 19TH ST
080280177;01/28/2008;08:55 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4919 N 21ST ST
080280179;01/28/2008;08:59 PM;4.0;MOTOR VEHICLE THEFT;;;;;5662 N 38TH ST
080280188;01/28/2008;09:53 PM;4.0;SIMPLE ASSAULT;;;;;5929 N 36TH ST
080270019;01/27/2008;05:30 AM;4.0;MOTOR VEHICLE THEFT;;;;;5427 N 40TH ST
080270032;01/27/2008;08:43 AM;5.0;MOTOR VEHICLE THEFT;;;;;4362 N 20TH ST
080270043;01/27/2008;09:52 AM;5.0;MOTOR VEHICLE THEFT;;;;;2328 W LANCASTER AV
