;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;81520061;05/31/2008;08:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0897557369659, -87.9379183956493];2050 W CAPITOL DR
1;81520092;05/31/2008;08:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12092150678068, -87.95282467055225];3205 W THURSTON AV
2;81520108;05/31/2008;03:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12521930391253, -87.95851383135233];5922 N 37TH ST
3;81510054;05/30/2008;10:49 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09920003136361, -87.9429680809335];4511 N 24TH PL
4;81510055;05/30/2008;10:54 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12658429331842, -87.95512524325842];3414 W FLORIST AV
5;81510059;05/30/2008;11:02 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14777823841535, -87.95654857123864];7171 N TEUTONIA AV
6;81510096;05/30/2008;02:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101597176144246, -87.95177799621098];4647 N 31ST ST
7;81500100;05/29/2008;02:21 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
8;81500176;05/29/2008;07:17 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11542800582839, -87.95635865032581];5377 N 35TH ST
9;81490041;05/28/2008;09:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
10;81480035;05/27/2008;07:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10473049321934, -87.97434007660567];4910 W HAMPTON AV
11;81480073;05/27/2008;11:35 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14802536663973, -87.97234814643068];7165 N 48TH ST
12;81480075;05/27/2008;11:29 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08996234300251, -87.94951463128002];2900 W CAPITOL DR
13;81480109;05/27/2008;03:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15512351316459, -87.95894163981737];7565 N TEUTONIA AV
14;81480176;05/27/2008;07:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.130439922009344, -87.95603765753917];6171 N 35TH ST
15;81460104;05/25/2008;03:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12657647879259, -87.95874133236194];3700 W FLORIST AV
16;81450118;05/24/2008;03:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11198627470808, -87.95772177470806];3600 W VILLARD AV
17;81450192;05/24/2008;11:16 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
18;81430141;05/22/2008;05:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11790283819033, -87.95144960646873];5523 N 31ST ST
19;81420105;05/21/2008;01:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10216626389327, -87.93866064605622];2101 W PURDUE ST
20;81420107;05/21/2008;01:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0915856128345, -87.94469212871482];4121 N 25TH ST
21;81410049;05/20/2008;10:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111881506203744, -87.96417044892955];4129 W VILLARD AV
22;81410054;05/20/2008;10:33 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10833227005196, -87.96176277005195];3900 W FAIRMOUNT AV
23;81410068;05/20/2008;11:46 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11041436663973, -87.95159157372014];5127 N 31ST ST
24;81400085;05/19/2008;11:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14632467055225, -87.96311916475253];7067 N 41ST ST
25;81400089;05/19/2008;12:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11185672525753, -87.97035697276475];4613 W VILLARD AV
26;81400093;05/19/2008;12:14 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1237882440972, -87.94654325056054];2728 W ORIOLE DR
27;81400102;05/19/2008;01:07 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09540188481736, -87.93418291185313];4302 N 19TH ST
28;81380075;05/17/2008;08:25 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09924205606212, -87.92858467949637];4519 N GREEN BAY AV
29;81380122;05/17/2008;01:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110315502914204, -87.976360092042];5103 N 51ST BL
30;81370040;05/16/2008;09:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09401532944776, -87.94810485356932];4254 N 28TH ST
