;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;92120114;07/31/2009;03:52 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11978249708582, -87.96339487910456];5618 N 41ST ST
1;92100053;07/29/2009;10:16 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11087251543635, -87.96714308381902];4320 W EGGERT PL
2;92100111;07/29/2009;03:32 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096275534277794, -87.92810959925535];4361 N 14TH ST
3;92100152;07/29/2009;07:12 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12698540683139, -87.96479936771314];6021 N 42ND ST
4;92070123;07/26/2009;04:14 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.101783670552265, -87.9491406503258];4641 N 29TH ST
5;92060137;07/25/2009;02:45 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11934139107844, -87.95211259117663];3124 W SILVER SPRING DR
6;92040098;07/23/2009;09:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09198082653356, -87.92694338631792];4126 N 13TH ST
7;92040153;07/23/2009;06:32 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10773213627445, -87.93519286078269];4956 N 19TH PL
8;92030086;07/22/2009;12:41 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10471452596791, -87.96757008090484];4330 W HAMPTON AV
9;92030184;07/22/2009;09:29 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095887161809685, -87.94925235356932];4328-A N 29TH ST
10;92020077;07/21/2009;12:18 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11730805245543, -87.96462337910455];5478 N 42ND ST
11;92020145;07/21/2009;05:32 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10057267003265, -87.93885397971624];2116 W CORNELL ST
12;92000099;07/19/2009;12:09 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10162069608748, -87.94915062479058];4633 N 29TH ST
13;92000137;07/19/2009;03:55 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108770827875986, -87.94532560475962];5025 N 26TH ST
14;91990058;07/18/2009;08:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10312458673323, -87.93702111368208];4725 N 20TH ST
15;91990065;07/18/2009;09:15 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10961277990651, -87.95160965753918];5065 N 31ST ST
