Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
110590038;02/28/2011;10:24 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4051 N 13TH ST
110590069;02/28/2011;01:37 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1932 W HAMPTON AV
110590081;02/28/2011;03:13 PM;7.0;SIMPLE ASSAULT;;;;;4532 W EGGERT PL
110590099;02/28/2011;03:19 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4132 W KIEHNAU AV
110590109;02/28/2011;03:40 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4020 W MILL RD
110590156;02/28/2011;10:26 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4560 W MILL RD
110600001;02/28/2011;10:59 PM;7.0;SIMPLE ASSAULT;;;;;5136 N 42ND ST
110600026;02/28/2011;10:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3610 W CUSTER AV
110580051;02/27/2011;09:59 AM;5.0;AGGRAVATED ASSAULT;;;;;3000 W CAPITOL DR #101
110580063;02/27/2011;11:54 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5863 N 37TH ST
110570037;02/26/2011;08:25 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4869 N 49TH ST
110570051;02/26/2011;11:20 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5377 N 34TH ST
110570068;02/26/2011;12:24 PM;7.0;AGGRAVATED ASSAULT;;;;;5119 N 31ST ST #UPPER
110570119;02/26/2011;07:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;4956 N 49TH ST
110570131;02/26/2011;09:26 PM;4.0;AGGRAVATED ASSAULT;;;;;5200 N TEUTONIA AV
110570134;02/26/2011;10:21 PM;4.0;SIMPLE ASSAULT;;;;;6117 N SHERMAN BL
110570136;02/26/2011;10:50 PM;4.0;SIMPLE ASSAULT;;;;;5268 N 29TH ST
110550131;02/25/2011;02:36 AM;5.0;AGGRAVATED ASSAULT;;;;;4055 N TEUTONIA AV
110560049;02/25/2011;01:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5106 N 50TH ST
110560073;02/25/2011;01:33 PM;5.0;SIMPLE ASSAULT;;;;;4539 N TEUTONIA AV #3
110560095;02/25/2011;04:24 PM;5.0;ALL OTHER LARCENY;;;;;4067 N 12TH ST
110570004;02/25/2011;11:41 PM;4.0;ALL OTHER LARCENY;;;;;6078 N 39TH ST
110550005;02/24/2011;12:14 AM;7.0;AGGRAVATED ASSAULT;;;;;5135 N 19TH PL
110550009;02/24/2011;02:14 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4000 N 29TH ST
110550013;02/24/2011;03:13 AM;4.0;SIMPLE ASSAULT;;;;;3001 W SILVER SPRING DR #107
110550020;02/24/2011;06:53 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4857 N 40TH ST
110550043;02/24/2011;11:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;4633 N 29TH ST
110550053;02/24/2011;12:25 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3818 W HAMPTON AV
110560007;02/24/2011;11:49 PM;4.0;SIMPLE ASSAULT;;;;;6020 N 35TH ST #308
110540077;02/23/2011;03:30 PM;5.0;AGGRAVATED ASSAULT;;;;;1100 W FIEBRANTZ AV #1
110540082;02/23/2011;04:59 PM;5.0;SIMPLE ASSAULT;;;;;1218 W HOPE AV
110540092;02/23/2011;05:33 PM;5.0;AGGRAVATED ASSAULT;DISORDERLY CONDUCT;;;;2232 W CAPITOL DR
110540092;02/23/2011;05:33 PM;5.0;AGGRAVATED ASSAULT;;;;;2232 W CAPITOL DR
110540112;02/23/2011;07:53 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4825 W VILLARD AV #LWR
110540119;02/23/2011;08:01 PM;4.0;AGGRAVATED ASSAULT;;;;;5525 N 41ST ST
110540128;02/23/2011;09:07 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4800 W HAMPTON AV #6
110530022;02/22/2011;09:26 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2027 W ATKINSON AV
110530036;02/22/2011;10:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;4525 N 26TH ST
110530037;02/22/2011;10:05 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4525 N 26TH ST
110530063;02/22/2011;03:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5073 N 46TH ST
110540002;02/22/2011;09:58 PM;7.0;ROBBERY;;;;;4820 N 20TH ST
110510114;02/21/2011;02:00 AM;4.0;SIMPLE ASSAULT;;;;;5722 N 36TH ST
110520057;02/21/2011;10:42 AM;5.0;SIMPLE ASSAULT;;;;;4376 N 28TH ST
110510024;02/20/2011;06:04 AM;4.0;AGGRAVATED ASSAULT;;;;;5940 N 37TH ST
110510051;02/20/2011;11:43 AM;4.0;ALL OTHER LARCENY;;;;;7155 N 43RD ST
110510098;02/20/2011;05:43 PM;5.0;ROBBERY;;;;;4339 N 27TH ST #1
110510103;02/20/2011;07:03 PM;7.0;AGGRAVATED ASSAULT;;;;;4735 W LUSCHER AV
110510121;02/20/2011;10:25 PM;5.0;SIMPLE ASSAULT;;;;;4750 N TEUTONIA AV
110500012;02/19/2011;02:09 AM;7.0;SIMPLE ASSAULT;;;;;4850 N 19TH PL
110500039;02/19/2011;09:00 AM;7.0;SIMPLE ASSAULT;;;;;3202-A W FAIRMOUNT AV
110500072;02/19/2011;01:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6134 N 40TH ST
110500084;02/19/2011;12:59 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4204 N 21ST ST
110500085;02/19/2011;12:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;4204 N 21ST ST
110500111;02/19/2011;06:19 PM;7.0;SIMPLE ASSAULT;;;;;4814 W HAMPTON AV #LWR
110500121;02/19/2011;07:43 PM;4.0;SIMPLE ASSAULT;;;;;5230 N SHERMAN BL #27
110500134;02/19/2011;09:52 PM;4.0;SIMPLE ASSAULT;;;;;3748 W GREEN TREE RD #3
