Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
111510035;05/31/2011;03:47 AM;4.0;ROBBERY;;;;;3827 W GOOD HOPE RD
111510041;05/31/2011;04:01 AM;5.0;AGGRAVATED ASSAULT;;;;;4360 N 14TH ST
111510049;05/31/2011;06:23 AM;4.0;SIMPLE ASSAULT;;;;;7027 N 43RD ST #5
111510050;05/31/2011;07:35 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5522 N 35TH ST
111510083;05/31/2011;11:07 AM;7.0;THEFT FROM BUILDING;;;;;4950 N 24TH ST
111510087;05/31/2011;12:07 PM;4.0;ALL OTHER LARCENY;;;;;5240 N 38TH ST
111510093;05/31/2011;12:30 PM;4.0;MOTOR VEHICLE THEFT;;;;;6020 N 35TH ST
111510122;05/31/2011;02:31 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6143 N 38TH ST
111510128;05/31/2011;03:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4545 N 24TH ST
111510171;05/31/2011;02:25 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4565 N 21ST ST
111510188;05/31/2011;07:10 PM;4.0;ALL OTHER LARCENY;;;;;2806 W BOBOLINK AV #6
111500070;05/30/2011;12:55 PM;4.0;ROBBERY;;;;;6045 N 39TH ST
111500072;05/30/2011;01:18 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4044 W VERA AV
111500097;05/30/2011;04:16 PM;5.0;SIMPLE ASSAULT;;;;;4260 N 26TH ST
111500098;05/30/2011;04:41 PM;4.0;MOTOR VEHICLE THEFT;;;;;5344 N 35TH ST
111500101;05/30/2011;05:02 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3820 W ELM ST
111500102;05/30/2011;04:32 PM;4.0;SIMPLE ASSAULT;;;;;5838 N 42ND ST
111500127;05/30/2011;07:47 PM;4.0;ALL OTHER LARCENY;;;;;6310 N SHERMAN BL
111500141;05/30/2011;07:54 PM;5.0;SIMPLE ASSAULT;;;;;4540 N TEUTONIA AV #3
111500166;05/30/2011;09:58 PM;4.0;AGGRAVATED ASSAULT;;;;;5275 N TEUTONIA AV
111490055;05/29/2011;08:33 AM;5.0;SIMPLE ASSAULT;;;;;2600 W VICTORY LA #3
111490065;05/29/2011;10:33 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;2700 W CAPITOL DR
111490104;05/29/2011;12:53 PM;4.0;ALL OTHER LARCENY;;;;;5434 N 36TH ST
111490128;05/29/2011;05:26 PM;4.0;MOTOR VEHICLE THEFT;;;;;5200 N SHERMAN BL
111490131;05/29/2011;05:07 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6823 N 41ST ST
111490141;05/29/2011;07:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4187 N 16TH ST
111480019;05/28/2011;02:21 AM;4.0;AGGRAVATED ASSAULT;;;;;5323 N 39TH ST
111480019;05/28/2011;02:21 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5323 N 39TH ST
111480020;05/28/2011;04:12 AM;5.0;MOTOR VEHICLE THEFT;;;;;4295 N TEUTONIA AV
111480023;05/28/2011;03:05 AM;7.0;SIMPLE ASSAULT;;;;;5000 N 48TH ST
111480029;05/28/2011;04:18 AM;5.0;SIMPLE ASSAULT;;;;;4025 N 13TH ST
