;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;120310119;01/31/2012;06:39 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10693128282071, -87.93287959925536];4921 N 18TH ST
1;120300130;01/30/2012;06:21 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094959607536595, -87.94176324871579];4281 N TEUTONIA AV
2;120290132;01/29/2012;12:38 AM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.10579658090484, -87.96777638631792];4850 N 44TH ST
3;120260104;01/26/2012;04:40 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.133225086166995, -87.97347128313379];4900 W WOOLWORTH AV
4;120250037;01/25/2012;12:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0924777857349, -87.9382385809335];4145 N 21ST ST
5;120230066;01/23/2012;02:09 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127677341104516, -87.95978810646872];6043 N 38TH ST
6;120200025;01/20/2012;10:56 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1089742200935, -87.95278284246082];5032 N 32ND ST
7;120200048;01/20/2012;02:36 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09141519900166, -87.94196810646872];4081 N 24TH ST
8;120200072;01/20/2012;05:22 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097029513994045, -87.94115111518263];2313 W CONGRESS ST
9;120190040;01/19/2012;09:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09347667055226, -87.93695112479058];4175 N 20TH ST
10;120190043;01/19/2012;11:01 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11744544754526, -87.95986226046918];5500 N 38TH ST
11;120190097;01/19/2012;04:47 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10472676961993, -87.9663901355317];4800 N SHERMAN BL
12;120170069;01/17/2012;01:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09622119900166, -87.93057109925536];4357 N 16TH ST
13;120160022;01/16/2012;07:33 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10469351875455, -87.96617147155058];4234 W HAMPTON AV
14;120160075;01/16/2012;02:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09086628282071, -87.93074006650677];4063 N 16TH ST
15;120150001;01/15/2012;12:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093574779906504, -87.94345009925536];4237 N 24TH PL
16;120150047;01/15/2012;10:29 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097182563603695, -87.94706912029778];2701 W ATKINSON AV
17;120150124;01/15/2012;10:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10769566472388, -87.96017588631791];4958 N 38TH ST
18;120140002;01/14/2012;12:14 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102628832361944, -87.95035487520941];4700 N 30TH ST
19;120140017;01/14/2012;09:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
20;120110062;01/11/2012;12:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104348546742614, -87.93968327699231];2209 W HAMPTON AV
21;120110150;01/11/2012;07:36 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12668329344469, -87.96645276905458];4316 W FLORIST AV
22;120100079;01/10/2012;01:15 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10828549321932, -87.96266002553523];3938 W FAIRMOUNT AV
23;120100121;01/10/2012;05:06 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0968234532574, -87.93091274562872];1610 W CONGRESS ST
24;120090032;01/09/2012;09:05 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105158419095176, -87.956569092042];4825 N MOTHER DANIELS WA
25;120090164;01/09/2012;10:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10820653952927, -87.93579111226845];1965 W FAIRMOUNT AV
26;120090170;01/09/2012;11:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099354205378305, -87.94400379880528];4527 N TEUTONIA AV
27;120080040;01/08/2012;09:18 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10477916180969, -87.94408286857298];4808 N 25TH ST
28;120080100;01/08/2012;07:37 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11033249708581, -87.97256633524746];5106 N 48TH ST
29;120070043;01/07/2012;06:34 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11971865889549, -87.95743291906649];5620 N 36TH ST
30;120070048;01/07/2012;06:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12824000366764, -87.96521949135358];4235 W MONROVIA WA
31;120070069;01/07/2012;10:46 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11042258090484, -87.9738028607827];5112 N 49TH ST
32;120070097;01/07/2012;01:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10123332944775, -87.94907587910456];4614 N 29TH ST
33;120070119;01/07/2012;12:31 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14369465944377, -87.95545539110708];6873 N TEUTONIA AV #4
34;120070142;01/07/2012;04:12 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10708366472389, -87.97877587910455];4924 N 53RD ST
35;120060017;01/06/2012;03:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09390786372555, -87.94691008093349];4259 N 27TH ST
36;120060127;01/06/2012;04:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.098150551762956, -87.94560590755397];4450 N 26TH ST
37;120050050;01/05/2012;12:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10506744463038, -87.956578092042];4819 N MOTHER DANIELS WA
38;120040048;01/04/2012;10:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10472676961993, -87.9663901355317];4800 N SHERMAN BL
39;120040064;01/04/2012;12:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10837983236195, -87.9614123280341];5000 N 39TH ST
40;120010035;01/01/2012;03:46 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10445030606816, -87.93142895904172];4803 N GREEN BAY AV
41;120310035;01/31/2012;08:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08126898251487, -87.98211986222498];3419 N 55TH ST
42;120240015;01/24/2012;05:48 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07352151399405, -87.992172];6401 W CHAMBERS ST
43;120220063;01/22/2012;12:13 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.059371105274884, -87.98095240342656];5406 W GARFIELD AV
44;120220084;01/22/2012;02:56 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.027020279012376, -88.02431426588888];449 S 90TH ST
45;120210043;01/21/2012;11:34 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07220380376829, -87.98871025592916];6069 W APPLETON AV
46;120190121;01/19/2012;07:41 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.072947387731546, -87.98084635688754];2962 N 54TH ST
47;120170019;01/17/2012;05:52 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05283148845882, -87.987231];5929 W WASHINGTON BL
48;120170023;01/17/2012;08:41 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08244239745509, -87.99793472603744];6836 W APPLETON AV
