Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
123660074;12/31/2012;04:35 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5538 N 35TH ST
123660082;12/31/2012;05:39 PM;5.0;INTIMIDATION;;;;;2514 W GLENDALE AV
123660105;12/31/2012;09:36 PM;5.0;AGGRAVATED ASSAULT;;;;;1400 W CONGRESS ST
123650026;12/30/2012;02:54 AM;5.0;INTIMIDATION;;;;;4282 N 27TH ST #3
123650034;12/30/2012;04:44 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6957 N TEUTONIA AV #UPPER
123650056;12/30/2012;10:31 AM;4.0;SIMPLE ASSAULT;;;;;2801 W CUSTER AV #105
123650102;12/30/2012;04:12 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4343 N 13TH ST #A
123650129;12/30/2012;09:02 PM;5.0;AGGRAVATED ASSAULT;;;;;4461 N 28TH ST #5
123640043;12/29/2012;10:07 AM;5.0;MOTOR VEHICLE THEFT;;;;;4112 N 13TH ST
123640050;12/29/2012;12:13 PM;7.0;SIMPLE ASSAULT;;;;;5175 N HOPKINS ST #203
123640057;12/29/2012;01:18 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5200 W HAMPTON AV
123630005;12/28/2012;12:06 AM;4.0;AGGRAVATED ASSAULT;;;;;5230 N SHERMAN BL #17
123630023;12/28/2012;04:42 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4658 N 30TH ST
123630036;12/28/2012;06:38 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4100 N 24TH ST
123630038;12/28/2012;08:45 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3500 W MOTHER DANIELS WA
123630063;12/28/2012;11:54 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4102 N 27TH ST
123630086;12/28/2012;01:47 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;2830 W BOBOLINK AV #6
123630112;12/28/2012;04:50 PM;4.0;SIMPLE ASSAULT;;;;;6213 N TEUTONIA AV
123630122;12/28/2012;05:54 PM;7.0;INTIMIDATION;;;;;4970 N 38TH ST
123620014;12/27/2012;01:55 AM;7.0;SIMPLE ASSAULT;;;;;5040-A N 32ND ST
123620028;12/27/2012;08:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4045 N 26TH ST
123620032;12/27/2012;08:43 AM;4.0;MOTOR VEHICLE THEFT;;;;;4020 W GOOD HOPE RD
123620049;12/27/2012;11:05 AM;4.0;ROBBERY;;;;;6840 N 39TH ST #3
123620074;12/27/2012;01:52 PM;4.0;INTIMIDATION;;;;;4039 W CLINTON AV
123620077;12/27/2012;01:56 PM;5.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;2330 W ROOSEVELT DR #108
123620083;12/27/2012;04:27 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6806 N 41ST ST
123620099;12/27/2012;05:13 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4807 W VILLARD AV
123620100;12/27/2012;05:41 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5872 N SHERMAN BL
123620113;12/27/2012;07:19 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3800 W GOOD HOPE RD
123620122;12/27/2012;08:29 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4102 N 27TH ST
123610017;12/26/2012;01:43 AM;7.0;AGGRAVATED ASSAULT;;;;;5065 N HOPKINS ST
123610025;12/26/2012;02:45 AM;4.0;AGGRAVATED ASSAULT;THEFT FROM BUILDING;;;;6912 N 37TH ST #2
123610062;12/26/2012;11:32 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4758 N 24TH ST
123610086;12/26/2012;01:43 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3101 W VILLARD AV
123610088;12/26/2012;02:49 PM;7.0;ALL OTHER LARCENY;;;;;5025 N 51ST BL
123610096;12/26/2012;02:50 PM;7.0;SIMPLE ASSAULT;;;;;4924 N 51ST BL
123610119;12/26/2012;05:24 PM;7.0;AGGRAVATED ASSAULT;;;;;4875 N 31ST ST
123610133;12/26/2012;08:22 PM;5.0;AGGRAVATED ASSAULT;;;;;4269 N 27TH ST #2
123610142;12/26/2012;10:39 PM;7.0;SIMPLE ASSAULT;;;;;4862 N 25TH ST #UPR
123620009;12/26/2012;11:42 PM;4.0;SIMPLE ASSAULT;;;;;4134 W VILLARD AV
123600021;12/25/2012;01:57 AM;4.0;SIMPLE ASSAULT;;;;;6971 N 43RD ST
123600034;12/25/2012;08:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5915 N 37TH ST
123600067;12/25/2012;02:42 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4265 N 27TH ST #1
123600087;12/25/2012;07:30 PM;4.0;SIMPLE ASSAULT;;;;;5542 N 34TH ST
123600093;12/25/2012;08:27 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;2832 W ORIOLE DR
123600101;12/25/2012;09:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;5330 N 34TH ST
123600111;12/25/2012;10:23 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5036 N SHERMAN BL
123590018;12/24/2012;01:19 AM;5.0;ROBBERY;;;;;4042 N 19TH PL
123590039;12/24/2012;08:08 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4870 N 20TH ST
123590057;12/24/2012;09:53 AM;5.0;ALL OTHER LARCENY;;;;;4295 N TEUTONIA AV
123590074;12/24/2012;01:57 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4366 N 27TH ST
123590100;12/24/2012;06:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4970 W FAIRMOUNT AV
123590105;12/24/2012;06:02 PM;7.0;ROBBERY;;;;;5191 N TEUTONIA AV
123590124;12/24/2012;05:35 PM;5.0;AGGRAVATED ASSAULT;;;;;4000 N TEUTONIA AV
123580004;12/23/2012;12:05 AM;5.0;ARSON;;;;;2621 W PORT SUNLIGHT WA
123580007;12/23/2012;12:38 AM;7.0;AGGRAVATED ASSAULT;;;;;5048 N 21ST ST
123580021;12/23/2012;12:26 AM;4.0;AGGRAVATED ASSAULT;;;;;5909 N TEUTONIA AV
123580050;12/23/2012;11:23 AM;5.0;ALL OTHER LARCENY;;;;;2222 W CAPITOL DR
123580070;12/23/2012;01:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;3131 W THURSTON AV
123580098;12/23/2012;03:43 PM;7.0;AGGRAVATED ASSAULT;;;;;5135 N 32ND ST
123580102;12/23/2012;05:21 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4353 N 21ST ST
123580118;12/23/2012;07:29 PM;5.0;SIMPLE ASSAULT;ALL OTHER OFFENSES;;;;4209 N 25TH ST
