;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;121820073;06/30/2012;12:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10863292200935, -87.95899063200395];5017 N 37TH ST
1;121810025;06/29/2012;03:04 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12205941326678, -87.95857486078269];5728 N 37TH ST
2;121810080;06/29/2012;12:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09901117074993, -87.94372577560387];4500 N TEUTONIA AV
3;121800106;06/28/2012;02:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118667000000016, -87.9551011392173];5559 N 34TH ST
4;121800125;06/28/2012;04:54 PM;5.0;THEFT FROM BUILDING;;;;;[43.098119497085804, -87.93937387910455];4448 N 22ND ST
5;121790051;06/27/2012;07:20 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.114827080760605, -87.95023989165536];5335 N TEUTONIA AV
6;121790079;06/27/2012;01:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090009254144086, -87.94094260867243];4015 N 23RD ST
7;121790081;06/27/2012;01:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08964348600597, -87.93495947155058];1914 W CAPITOL DR
8;121790114;06/27/2012;05:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105581525102544, -87.94557352553522];2603 W LINWAL LA
9;121770080;06/25/2012;01:16 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10582441909517, -87.95782160646873];4855 N 36TH ST
10;121770143;06/25/2012;05:31 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;LIQUOR LAW VIOLATIONS;;;;[43.09310677990652, -87.94345909925535];4215 N 24TH PL
11;121770183;06/25/2012;10:34 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11085538773156, -87.96139283524747];5146 N 39TH ST
12;121760077;06/24/2012;11:56 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10690383236195, -87.93653583135233];4920 N 20TH ST
13;121770021;06/24/2012;10:44 PM;4.0;THEFT FROM BUILDING;;;;;[43.11186948268775, -87.9523512485429];3120 W VILLARD AV
14;121720084;06/20/2012;01:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09613205938033, -87.94013990492823];2221 W ROOSEVELT DR
15;121710029;06/19/2012;04:07 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09186594800152, -87.93061001346985];4120 N 16TH ST
16;121710087;06/19/2012;01:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10510354954124, -87.93287544460172];4832 N 18TH ST
17;121710172;06/19/2012;07:18 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09979163252355, -87.94552733905569];4535 N 26TH ST
19;121700070;06/18/2012;08:33 AM;5.0;THEFT FROM BUILDING;;;;;[43.09058570277073, -87.94471200460293];4051 N 25TH ST
20;121700178;06/18/2012;07:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10453426521323, -87.93818276521323];2100 W HAMPTON AV
21;121700199;06/18/2012;08:45 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11251600695356, -87.96511077780038];5230 N 42ND ST
22;121670098;06/15/2012;03:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10378086372555, -87.93415759925536];4757 N 19TH ST
23;121660059;06/14/2012;11:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09278246681874, -87.94654127699232];2627 W HOPE AV
24;121660078;06/14/2012;02:39 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09529388481735, -87.93419288631792];4254 N 19TH ST
25;121640047;06/12/2012;11:49 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11687683819031, -87.95876915753918];5457 N 37TH ST
26;121640164;06/12/2012;08:03 PM;7.0;THEFT FROM BUILDING;;;;;[43.111881506203744, -87.96417044892955];4129 W VILLARD AV
27;121630033;06/11/2012;05:26 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
28;121630212;06/11/2012;10:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08992781180444, -87.94580967372782];2600 W CAPITOL DR
29;121630224;06/11/2012;11:45 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10585949708582, -87.93655285688754];4870 N 20TH ST
30;121620079;06/10/2012;11:38 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10475294754457, -87.94288011368208];4805 N 24TH PL
