;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;130580016;02/27/2013;08:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10776741326677, -87.9589328280341];4962 N 37TH ST
1;130560085;02/25/2013;02:14 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089652486005974, -87.93534049417161];1928 W CAPITOL DR
2;130550061;02/24/2013;01:33 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.101276235616744, -87.93598274660965];1977 W PURDUE ST
3;130550122;02/24/2013;05:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09136103136362, -87.93698812089545];4083 N 20TH ST
4;130530030;02/22/2013;08:41 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129862817965346, -87.96506879707425];4229 W DOUGLAS AV
5;130520051;02/21/2013;12:18 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097933064660445, -87.92788970194452];4453 N GREEN BAY AV
6;130500072;02/19/2013;03:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10855949708582, -87.97259588631792];5006 N 48TH ST
7;130480040;02/17/2013;09:45 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091110424923556, -87.92582104818491];4075 N 12TH ST
8;130480123;02/17/2013;10:52 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11064794754458, -87.9528216503258];5135 N 32ND ST
9;130430004;02/12/2013;01:15 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09762583819031, -87.94928757372014];4419 N 29TH ST
10;130430083;02/12/2013;02:42 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11214850597263, -87.96336921507316];5206 N HOPKINS ST
11;130430092;02/12/2013;05:06 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125981830692666, -87.96602422470077];5962 N SHERMAN BL
12;130350100;02/04/2013;04:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100315528449414, -87.93823812479059];4565 N 21ST ST
13;130340116;02/03/2013;09:34 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10445030606816, -87.93142895904172];4803 N GREEN BAY AV
14;130330020;02/02/2013;08:27 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12359000000001, -87.95489386078269];5834 N 34TH ST
15;130330066;02/02/2013;02:20 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10931278351319, -87.96218424926404];5065 N HOPKINS ST
16;130320097;02/01/2013;09:03 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106650543164605, -87.94769094252425];4910 N TEUTONIA AV
17;130590053;02/28/2013;02:57 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
