Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
132120013;07/31/2013;01:47 AM;4.0;SIMPLE ASSAULT;;;;;4144 W GOOD HOPE RD
132120023;07/31/2013;03:11 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4060 N 26TH ST
132120050;07/31/2013;08:51 AM;7.0;SIMPLE ASSAULT;;;;;4752 N 19TH PL
132120074;07/31/2013;11:14 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4070 N 24TH PL
132120082;07/31/2013;10:52 AM;4.0;ARSON;;;;;5311 N 27TH ST
132120089;07/31/2013;11:16 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1925 W HAMPTON AV
132120136;07/31/2013;04:18 PM;5.0;SIMPLE ASSAULT;;;;;4231 N 27TH ST
132120171;07/31/2013;05:49 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4725 N 30TH ST
132120171;07/31/2013;05:49 PM;5.0;ROBBERY;;;;;4725 N 30TH ST
132120187;07/31/2013;09:25 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4651 N GREEN BAY AV
132120193;07/31/2013;08:54 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4872 N 42ND ST
132120197;07/31/2013;11:03 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5075 N SHERMAN BL
132110035;07/30/2013;06:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1416 W CAPITOL DR
132110038;07/30/2013;07:19 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3212 W MILL RD
132110058;07/30/2013;08:00 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4112 N 21ST ST
132110073;07/30/2013;11:02 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5814 N 39TH ST
132110089;07/30/2013;01:41 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4617 N 24TH PL
132110100;07/30/2013;02:57 PM;7.0;THEFT FROM BUILDING;;;;;3800 W HAMPTON AV
132110137;07/30/2013;07:52 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4102 W HAMPTON AV
132110153;07/30/2013;08:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5140 N 37TH ST
132110164;07/30/2013;08:54 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4940 N 27TH ST
132110169;07/30/2013;07:10 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4538 N 21ST ST
132200030;07/30/2013;11:12 AM;4.0;THEFT FROM BUILDING;;;;;5924 N SHERMAN BL #5
132100002;07/29/2013;12:08 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3903 W VILLARD AV
132100009;07/29/2013;12:32 AM;4.0;SIMPLE ASSAULT;;;;;5827 N 39TH ST
132100013;07/29/2013;01:44 AM;7.0;AGGRAVATED ASSAULT;;;;;4422 W HAMPTON AV #105
132100034;07/29/2013;06:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;5440 N 39TH ST
132100060;07/29/2013;09:55 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4538 W EGGERT PL
132100101;07/29/2013;12:28 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5100 N 42ND ST
132100110;07/29/2013;02:17 PM;7.0;PURSE SNATCHING;;;;;4117 W FAIRMOUNT AV
132100118;07/29/2013;02:09 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4822 W GREEN TREE RD
132100119;07/29/2013;11:00 AM;5.0;THEFT FROM BUILDING;;;;;4369 N 24TH PL #12
132100123;07/29/2013;11:48 AM;5.0;ROBBERY;;;;;2709 W ROOSEVELT DR
132100146;07/29/2013;06:21 PM;5.0;ALL OTHER LARCENY;;;;;4376 N 30TH ST
