;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;133030027;10/30/2013;08:28 AM;5.0;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;;[43.08959046047074, -87.93255197155058];1710 W CAPITOL DR
1;133020024;10/29/2013;03:13 AM;7.0;THEFT FROM BUILDING;;;;;[43.11110810595232, -87.94993538434841];5171 N TEUTONIA AV #2
2;133020049;10/29/2013;10:10 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11599403136361, -87.96000157703837];5421 N 38TH ST
3;133020094;10/29/2013;02:52 PM;7.0;THEFT FROM BUILDING;;;;;[43.1102239103526, -87.93512438631792];5104 N 19TH PL
4;133020153;10/29/2013;09:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.122810370371276, -87.94763359288541];2820 W CARMEN AV
5;133020179;10/29/2013;11:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13380769726783, -87.97194180273216];4701 W MILL RD
6;133010108;10/28/2013;03:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.133670502914185, -87.97010017917925];6369 N 46TH ST
7;133010115;10/28/2013;05:15 PM;7.0;THEFT FROM BUILDING;;;;;[43.10660730391251, -87.9340048607827];4902 N 19TH ST
8;133000053;10/27/2013;09:16 AM;7.0;THEFT FROM BUILDING;;;;;[43.10823545325738, -87.95331016763807];3210 W FAIRMOUNT AV
9;132990015;10/26/2013;02:44 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10897228603932, -87.95399467039331];5048 N 33RD ST
10;132990019;10/26/2013;02:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10897228603932, -87.95399467039331];5048 N 33RD ST
11;132990083;10/26/2013;12:55 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1109411236729, -87.95551405803604];3347 W EGGERT PL
12;132980087;10/25/2013;04:12 PM;4.0;THEFT FROM BUILDING;;;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
13;132970046;10/24/2013;10:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111995274719554, -87.96149277471955];3900 W VILLARD AV
14;132970059;10/24/2013;12:03 PM;5.0;THEFT FROM COIN-OPPERATED MACHINES;;;;;[43.08990346826103, -87.9480315];2728 W CAPITOL DR
15;132960036;10/23/2013;08:42 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1082254787926, -87.95388264210284];3230 W FAIRMOUNT AV
