;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;142730158;09/30/2014;03:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12665289430555, -87.96371108845389];4128 W FLORIST AV
1;142720057;09/29/2014;09:52 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10991627207026, -87.96375177207025];4100 W LANCASTER AV
2;142710046;09/28/2014;08:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09607574271453, -87.92925443738835];4352 N 15TH ST
3;142710088;09/28/2014;02:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11198686348805, -87.95894067757094];3700 W VILLARD AV
4;142700137;09/27/2014;07:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11758641326679, -87.96462435356932];5500 N 42ND ST
5;142650175;09/26/2014;08:22 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10739930391253, -87.94153338790538];4950 N 24TH ST
6;142690013;09/26/2014;01:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939246768411, -87.965163];4210 W SILVER SPRING DR
7;142690017;09/26/2014;02:44 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11267804419681, -87.96009344104338];5241 N 38TH ST
8;142690034;09/26/2014;08:39 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1066768623384, -87.95904689800996];4913 N 37TH ST
9;142690045;09/26/2014;12:37 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095173658607024, -87.94187328146437];4295 N TEUTONIA AV
10;142680143;09/25/2014;06:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09369132944775, -87.94337342627985];4240 N 24TH PL
11;142660061;09/23/2014;10:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104616519331486, -87.95356344601535];3200 W HAMPTON AV
12;142660128;09/23/2014;04:44 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
13;142650033;09/22/2014;09:11 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107741136274456, -87.94401435356933];4952 N 25TH ST
14;142650092;09/22/2014;01:36 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV
15;142650094;09/22/2014;01:50 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11744470090871, -87.96106303130465];5500 N 39TH ST
16;142640066;09/21/2014;10:36 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091411481245466, -87.93536441909515];1931 W FIEBRANTZ AV
17;142630132;09/20/2014;03:25 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10202994702498, -87.94340567441873];2456 W CORNELL ST
18;142630145;09/20/2014;04:25 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09817299417162, -87.95039535356932];4444 N 30TH ST
19;142630186;09/20/2014;07:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12477692062438, -87.95299952328486];5900 N 32ND ST
20;142620101;09/19/2014;06:20 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.113941978359925, -87.93830816483944];5316 N DEXTER AV
21;142600149;09/17/2014;05:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10465751875456, -87.9570135];3506 W HAMPTON AV
22;142600188;09/17/2014;08:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.098616005828376, -87.95046012479058];4467 N 30TH ST
23;142590055;09/16/2014;12:45 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107874994171624, -87.94650488631792];4970 N 27TH ST
24;142580044;09/15/2014;07:40 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12374448600596, -87.94721322300768];2734 W ORIOLE DR
25;142570048;09/14/2014;09:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11099894754457, -87.96502811757723];5153 N 42ND ST
26;142550047;09/12/2014;08:50 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.103889806826714, -87.95034234967419];4760 N 30TH ST
27;142550107;09/12/2014;02:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14119251947664, -87.95632303292146];3511 W GREEN TREE RD
28;142550111;09/12/2014;04:37 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
29;142540011;09/11/2014;02:19 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09597788481736, -87.93417488631792];4330 N 19TH ST
30;142540104;09/11/2014;01:45 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125018045921216, -87.9661302030577];5900 N SHERMAN BL
31;142530059;09/10/2014;09:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10939929063965, -87.97874533741185];5000 N 53RD ST
32;142530094;09/10/2014;01:30 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10161132944776, -87.94907538242276];4636 N 29TH ST
33;142530179;09/10/2014;08:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11184050678067, -87.95478191909515];3323 W VILLARD AV
34;142520058;09/09/2014;09:10 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.116146161809695, -87.96465487910454];5420 N 42ND ST
35;142520059;09/09/2014;09:14 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10538014728318, -87.9341385303204];4847 N 19TH ST
36;142520148;09/09/2014;06:06 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0903892200935, -87.94084388631792];4026 N 23RD ST
37;142520189;09/09/2014;04:14 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14552709686078, -87.96570166532945];7027 N 43RD ST
38;142520191;09/09/2014;09:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
39;142520192;09/09/2014;07:45 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.119319493219315, -87.96316147446477];4024 W SILVER SPRING DR
40;142510091;09/08/2014;11:34 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10619140743839, -87.96500341185313];4872 N 42ND ST
41;142500002;09/07/2014;01:33 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.114689282820706, -87.94511059925536];5349 N 26TH ST
42;142500060;09/07/2014;10:20 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.098616005828376, -87.95046012479058];4467 N 30TH ST
43;142500065;09/07/2014;10:56 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.147610392351474, -87.96300242473127];7152 N 41ST ST
44;142500124;09/07/2014;11:48 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.120260031363614, -87.95624059204201];5645 N 35TH ST
45;142490040;09/06/2014;05:12 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10128699417163, -87.94284435356933];4622 N 24TH PL
46;142480097;09/05/2014;12:39 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
47;142480134;09/05/2014;04:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0930246588955, -87.95695494460172];4170 N 35TH ST
48;142480154;09/05/2014;05:51 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.113751495095244, -87.96176071772756];3901 W ROHR AV
49;142480177;09/05/2014;08:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10836827009782, -87.9703023202979];4602 W FAIRMOUNT AV
50;142450032;09/02/2014;06:58 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096283549541226, -87.93297593738835];4350 N 18TH ST
51;142720048;09/29/2014;07:48 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0692275276127, -87.99965028561932];2751 N 70TH ST
52;142720059;09/29/2014;07:48 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0692275276127, -87.99965028561932];2751 N 70TH ST
53;142720080;09/29/2014;12:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0743864884588, -88.00164327407813];7129 W MOLTKE AV
54;142720158;09/29/2014;06:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.086475257285485, -87.9871400809335];3805 N 60TH ST
55;142710157;09/28/2014;10:07 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05351679390907, -87.98102932370443];1745 N 54TH ST
56;142700042;09/27/2014;07:13 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02521853398934, -87.98597868896103];646 S HAWLEY RD
57;142680076;09/25/2014;01:08 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.037430565410254, -87.96954248617979];4444 W BLUE MOUND RD
58;142670019;09/24/2014;02:06 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.089878495672174, -87.99972283236194];7009 W CAPITOL DR
59;142670070;09/24/2014;11:22 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06516230391253, -87.97864388631791];2538 N 52ND ST
60;142640102;09/21/2014;01:32 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08201435749313, -87.99759722603744];6810 W APPLETON AV
61;142630108;09/20/2014;12:59 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.033401282820705, -87.97706802264969];251 N 50TH ST
62;142600052;09/17/2014;09:39 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.049204193173296, -87.98750289353127];1368 N 60TH ST
63;142580023;09/15/2014;07:13 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05159053318129, -87.98453083236194];5702 W GALENA ST
64;142570108;09/14/2014;06:53 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
65;142560042;09/13/2014;09:33 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03289733527612, -87.96131494791994];212 N 38TH ST
66;142560054;09/13/2014;11:46 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08823416431986, -88.00259736522608];7284 W APPLETON AV
67;142550071;09/12/2014;11:51 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.074197999999996, -88.00357812479058];3029 N 73RD ST
68;142540033;09/11/2014;06:52 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07352151399405, -87.99112252553522];6309 W CHAMBERS ST
69;142540056;09/11/2014;07:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0754014773503, -87.99611399999999];6709 W BURLEIGH ST
70;142540066;09/11/2014;11:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08221333195792, -87.99775570050221];6824 W APPLETON AV
71;142530014;09/10/2014;01:31 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07527858510862, -88.00690914168851];7535 W BURLEIGH ST
72;142530055;09/10/2014;09:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07214670191587, -87.98425904428977];2917 N 57TH ST
73;142510191;09/08/2014;07:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.085059438802006, -88.00393930339293];3721 N 73RD ST
74;142490129;09/06/2014;11:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08574483236194, -88.00716534246082];3756 N 76TH ST
75;142490209;09/06/2014;06:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08745558673323, -87.99714859925535];3853 N 68TH ST
76;142480050;09/05/2014;06:57 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06887983819033, -87.98429106261165];2739 N 57TH ST
77;142470186;09/04/2014;06:57 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.051613092965624, -87.98257438975077];1601 N HAWLEY RD
78;142460035;09/03/2014;09:42 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06582766362737, -87.98300057063305];5540 W LISBON AV
79;142450123;09/02/2014;04:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06871139549318, -87.98579176299829];5823 W APPLETON AV
80;142450161;09/02/2014;06:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07118203580702, -88.004954580241];2861 N 74TH ST
81;142450166;09/02/2014;06:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07271097246392, -87.99603263794712];6700 W LISBON AV
82;142450193;09/02/2014;09:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07665558673324, -87.97852913532216];3167 N 52ND ST
83;142680042;09/25/2014;10:08 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9881464773503, -88.01882083236194];8449 W OKLAHOMA AV
84;142670108;09/24/2014;02:22 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97368447879261, -88.03552066763807];9808 W HOWARD AV
85;142660185;09/23/2014;04:57 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.96810619900168, -87.9782895337582];4207 S 51ST ST
