Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
142430017;08/31/2014;01:46 AM;7.0;SIMPLE ASSAULT;;;;;5009 N 20TH ST
142430021;08/31/2014;03:02 AM;4.0;ALL OTHER LARCENY;;;;;5419 N 31ST ST
142430110;08/31/2014;05:21 PM;5.0;AGGRAVATED ASSAULT;;;;;4445 N 30TH ST
142430118;08/31/2014;06:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;4777 N 32ND ST
142440002;08/31/2014;10:48 PM;4.0;INTIMIDATION;;;;;5277-A N 38TH ST
142440010;08/31/2014;09:39 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5239 N TEUTONIA AV
142420002;08/30/2014;12:26 AM;7.0;AGGRAVATED ASSAULT;;;;;5028 N 50TH ST
142420007;08/30/2014;01:01 AM;7.0;SIMPLE ASSAULT;;;;;4920 N 36TH ST
142420015;08/30/2014;01:28 AM;4.0;INTIMIDATION;;;;;5508-A N LONG ISLAND DR
142420028;08/30/2014;02:11 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6522 N 40TH ST
142420042;08/30/2014;05:08 AM;5.0;INTIMIDATION;;;;;4100 N 21ST ST #2
142420046;08/30/2014;06:58 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6156 N 38TH ST
142420077;08/30/2014;11:50 AM;5.0;ROBBERY;;;;;2900 W ATKINSON AV
142420079;08/30/2014;11:22 AM;7.0;SIMPLE ASSAULT;;;;;4685 N 19TH PL
142420087;08/30/2014;01:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;5071 N 19TH PL
142420102;08/30/2014;01:05 PM;5.0;ROBBERY;;;;;4500 N 27TH ST
142420124;08/30/2014;05:16 PM;7.0;AGGRAVATED ASSAULT;;;;;5019 N HOPKINS ST #7
142420129;08/30/2014;06:20 PM;4.0;MOTOR VEHICLE THEFT;;;;;7152 N 41ST ST
142420142;08/30/2014;07:38 PM;4.0;MOTOR VEHICLE THEFT;;;;;3900 W VERA AV
142430012;08/30/2014;10:23 PM;4.0;ROBBERY;;;;;5620 N 38TH ST
142540015;08/30/2014;11:57 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;3427 W VILLARD AV
142410045;08/29/2014;06:25 AM;4.0;AGGRAVATED ASSAULT;;;;;2800 W BOBOLINK AV #16
142410112;08/29/2014;01:58 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;3101 W CAMERON AV
142410118;08/29/2014;02:51 PM;5.0;SIMPLE ASSAULT;;;;;4074 N 24TH ST
142410122;08/29/2014;01:08 PM;7.0;MOTOR VEHICLE THEFT;;;;;4910 N TEUTONIA AV
142410131;08/29/2014;03:52 PM;5.0;MOTOR VEHICLE THEFT;;;;;4427 N GREEN BAY AV
142410134;08/29/2014;02:54 PM;4.0;ROBBERY;;;;;5662 N 33RD ST
142410142;08/29/2014;05:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;3800 W SHERIDAN AV
142410182;08/29/2014;03:52 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6119 N 38TH ST #LWR
142410218;08/29/2014;10:38 PM;;HOMICIDE;;;;;4079 N 31ST ST
142400016;08/28/2014;12:45 AM;4.0;SIMPLE ASSAULT;;;;;5807 N 39TH ST
142400040;08/28/2014;07:51 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4024 N 19TH ST
142400061;08/28/2014;11:15 AM;4.0;AGGRAVATED ASSAULT;;;;;5380 N 36TH ST
142400068;08/28/2014;12:39 PM;4.0;AGGRAVATED ASSAULT;;;;;3510 W VILLARD AV
142400102;08/28/2014;03:24 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4553 N 26TH ST
142400124;08/28/2014;07:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4224 W VILLARD AV
142400133;08/28/2014;08:14 PM;4.0;AGGRAVATED ASSAULT;;;;;5262 N 28TH ST
142400134;08/28/2014;08:17 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4485 N TEUTONIA AV #6
142380016;08/27/2014;09:00 AM;7.0;SIMPLE ASSAULT;;;;;5039 N 25TH ST
142390020;08/27/2014;01:16 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5174 N 35TH ST
142390032;08/27/2014;02:13 AM;5.0;SIMPLE ASSAULT;;;;;4627 N 27TH ST
