Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
150590016;02/28/2015;02:40 AM;7.0;AGGRAVATED ASSAULT;;;5100 N 51ST BL
150590027;02/28/2015;09:02 AM;7.0;MOTOR VEHICLE THEFT;;;5028 N 51ST BL
150590028;02/28/2015;08:05 AM;5.0;SIMPLE ASSAULT;;;4466 N 28TH ST
150590054;02/28/2015;01:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;1700 W HAMPTON AV
150590062;02/28/2015;01:37 PM;5.0;PURSE SNATCHING;;;4551 N 28TH ST
150590069;02/28/2015;03:01 PM;4.0;AGGRAVATED ASSAULT;ALL OTHER OFFENSES;;3723 W FLORIST AV
150590081;02/28/2015;03:27 PM;7.0;ROBBERY;;;4300 W FAIRMOUNT AV
150590082;02/28/2015;02:44 PM;7.0;MOTOR VEHICLE THEFT;;;5191 N TEUTONIA AV
150590082;02/28/2015;02:44 PM;7.0;THEFT FROM BUILDING;;;5191 N TEUTONIA AV
150590108;02/28/2015;11:40 PM;5.0;MOTOR VEHICLE THEFT;;;4768 N 30TH ST
150580013;02/27/2015;07:49 AM;5.0;SIMPLE ASSAULT;;;1216-B W HOPE AV
150580025;02/27/2015;08:05 AM;;HOMICIDE;;;4515 N 28TH ST
150580048;02/27/2015;10:24 AM;4.0;SIMPLE ASSAULT;;;5236 N 38TH ST
150580080;02/27/2015;04:51 PM;7.0;SIMPLE ASSAULT;;;4522 W HAMPTON AV #203
150580110;02/27/2015;08:32 PM;7.0;INTIMIDATION;;;4940 N 19TH ST
150580111;02/27/2015;09:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5363 N 37TH ST
150580123;02/27/2015;11:34 PM;7.0;SIMPLE ASSAULT;;;5158-A N TEUTONIA AV
150570022;02/26/2015;07:43 AM;5.0;AGGRAVATED ASSAULT;;;4132-A N 24TH PL
150570062;02/26/2015;03:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5744 N 38TH ST
150560025;02/25/2015;07:15 AM;4.0;MOTOR VEHICLE THEFT;;;6944 N TEUTONIA AV
150560039;02/25/2015;08:39 AM;5.0;SHOPLIFTING;;;2012 W CAPITOL DR
150560054;02/25/2015;11:19 AM;5.0;MOTOR VEHICLE THEFT;;;2513 W GLENDALE AV
150560057;02/25/2015;11:27 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5171 N TEUTONIA AV
150560064;02/25/2015;11:25 AM;7.0;MOTOR VEHICLE THEFT;;;4953 N 38TH ST
150560066;02/25/2015;04:07 PM;7.0;ROBBERY;;;4803 N GREEN BAY AV
150560124;02/25/2015;03:04 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;2334 W LINWAL LA
150560126;02/25/2015;04:13 PM;4.0;THEFT FROM BUILDING;;;5304 N TEUTONIA AV #2
150570013;02/25/2015;05:23 PM;4.0;ROBBERY;;;5337 N HOPKINS ST
150550012;02/24/2015;02:23 AM;7.0;SIMPLE ASSAULT;;;5041 N 32ND ST
