Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
151880199;07/31/2015;06:33 PM;4.0;THEFT FROM MOTOR VEHICLE;;;5515 N LONG ISLAND DR
152120026;07/31/2015;04:14 AM;7.0;AGGRAVATED ASSAULT;;;5168 N 35TH ST #12
152120027;07/31/2015;04:05 AM;5.0;AGGRAVATED ASSAULT;;;4501 N 27TH ST
152120045;07/31/2015;09:30 AM;4.0;MOTOR VEHICLE THEFT;;;5455 N 37TH ST
152120053;07/31/2015;09:44 AM;5.0;ROBBERY;;;4222 N 19TH ST
152120063;07/31/2015;11:34 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4900 N 38TH ST
152120165;07/31/2015;11:30 PM;7.0;AGGRAVATED ASSAULT;;;5166 N 40TH ST
152110003;07/30/2015;12:11 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4738 N 20TH ST
152110026;07/30/2015;04:05 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;1951 W HAMPTON AV
152110029;07/30/2015;03:09 AM;4.0;ROBBERY;;;5230 N 42ND ST #4
152110040;07/30/2015;09:15 AM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;5924 N SHERMAN BL #1
152110045;07/30/2015;09:43 AM;7.0;AGGRAVATED ASSAULT;;;4828 N 36TH ST
152110103;07/30/2015;03:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4801 N 49TH ST
152110131;07/30/2015;07:30 PM;5.0;SIMPLE ASSAULT;;;4344 N 28TH ST
152110139;07/30/2015;06:51 PM;4.0;SIMPLE ASSAULT;;;5311 N 28TH ST
152100017;07/29/2015;12:57 AM;5.0;AGGRAVATED ASSAULT;KIDNAPING;;4441 N 30TH ST
152100042;07/29/2015;09:32 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;4215 N 16TH ST
