Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
151510012;05/31/2015;01:52 AM;5.0;ROBBERY;;;4224 N 15TH ST
151510025;05/31/2015;03:48 AM;7.0;MOTOR VEHICLE THEFT;;;2107 W EGGERT PL
151510032;05/31/2015;08:14 AM;5.0;MOTOR VEHICLE THEFT;;;4630 N 32ND ST
151510134;05/31/2015;09:15 PM;4.0;THEFT FROM BUILDING;;;5241 N 31ST ST
151500041;05/30/2015;07:03 AM;5.0;ALL OTHER LARCENY;;;4000 N TEUTONIA AV
151500058;05/30/2015;10:39 AM;7.0;SIMPLE ASSAULT;;;5036 N 20TH ST
151500076;05/30/2015;09:37 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;5016 N HOPKINS ST
151500138;05/30/2015;08:17 PM;5.0;MOTOR VEHICLE THEFT;;;2531 W VICTORY LA
151490016;05/29/2015;01:07 AM;4.0;ARSON;;;5372 N 34TH ST
151490022;05/29/2015;01:19 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;5372 N 37TH ST
151490060;05/29/2015;07:43 AM;7.0;AGGRAVATED ASSAULT;;;5119 N 31ST ST
151490092;05/29/2015;11:46 AM;7.0;MOTOR VEHICLE THEFT;;;4519 N GREEN BAY AV
151490123;05/29/2015;04:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;5191 N TEUTONIA AV
151490125;05/29/2015;04:21 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4917 N 37TH ST
151490125;05/29/2015;04:21 PM;7.0;SIMPLE ASSAULT;;;4917 N 37TH ST
151490144;05/29/2015;06:17 PM;4.0;ALL OTHER LARCENY;;;5720 N 34TH ST
151490184;05/29/2015;10:40 PM;5.0;AGGRAVATED ASSAULT;;;2913 W GLENDALE AV
151490188;05/29/2015;11:08 PM;7.0;AGGRAVATED ASSAULT;;;4331 W FAIRMOUNT AV
151480009;05/28/2015;01:01 AM;4.0;ALL OTHER LARCENY;;;5200 N SHERMAN BL
151480018;05/28/2015;01:02 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;5256-A N 34TH ST
151480061;05/28/2015;12:15 PM;4.0;ALL OTHER LARCENY;;;3475 W MILL RD
151480087;05/28/2015;12:04 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5927 N TEUTONIA AV #1
151480094;05/28/2015;03:25 PM;5.0;POCKET PICKING;;;4000 N TEUTONIA AV
151480126;05/28/2015;07:23 PM;4.0;AGGRAVATED ASSAULT;;;3636 W GOOD HOPE RD #8
151480138;05/28/2015;07:08 PM;7.0;SIMPLE ASSAULT;;;2623 W LINWAL LA
