;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;160910006;03/31/2016;12:58 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11925647157925, -87.95591083236194];3432 W SILVER SPRING DR
1;160910017;03/31/2016;03:08 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09461824562871, -87.94681389353127];4282 N 27TH ST
2;160910118;03/31/2016;06:20 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110872173095494, -87.93860240233631];2106 W EGGERT PL
3;161050040;03/31/2016;11:34 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09226021426511, -87.9381729190665];4136 N 21ST ST
4;160890106;03/29/2016;01:56 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14730567055227, -87.96310064643068];7125 N 41ST ST
5;160890155;03/29/2016;08:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110489834035384, -87.94962941156467];5140 N TEUTONIA AV
6;160870081;03/27/2016;03:14 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111877481245465, -87.96363142339432];4105 W VILLARD AV
7;160870118;03/27/2016;09:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106974606440076, -87.97877587910455];4920 N 53RD ST
8;160850113;03/25/2016;08:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09379893418571, -87.92524295559558];4200 N GREEN BAY AV
9;160840030;03/24/2016;06:51 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.147319481245454, -87.9585930313636];3717 W ROCHELLE AV
10;160840080;03/24/2016;04:04 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09328425088613, -87.93436225088611];1900 W HOPE AV
11;160820179;03/23/2016;12:07 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111877481245465, -87.96363142339432];4105 W VILLARD AV
12;160810132;03/21/2016;06:34 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11606499417161, -87.96347490463978];5414 N 41ST ST
13;160810164;03/21/2016;07:03 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.15132464778698, -87.95769584142163];7343 N TEUTONIA AV
14;160800047;03/20/2016;10:43 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09193591035259, -87.93191588631792];4122 N 17TH ST
15;160790158;03/19/2016;06:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1066705029142, -87.9739176503258];4905 N 49TH ST
16;160790161;03/19/2016;10:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.102908586733236, -87.93702013921731];4713 N 20TH ST
17;160780137;03/18/2016;05:07 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14872658081617, -87.96091524690033];3926 W GOOD HOPE RD
18;160770124;03/17/2016;06:26 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127677341104516, -87.95978810646872];6043 N 38TH ST
19;160760074;03/16/2016;02:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13374469734822, -87.9519483947043];3131 W MILL ROAD CT
20;160760130;03/16/2016;09:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110872173095494, -87.93860240233631];2106 W EGGERT PL
21;160750108;03/15/2016;03:33 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14997340940031, -87.95840639370417];3700 W JUNIPER CT
22;160740125;03/14/2016;05:40 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10739930391253, -87.94153338790538];4950 N 24TH ST
23;160740129;03/14/2016;05:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14378200765677, -87.95550192216135];6933 N TEUTONIA AV
24;160740184;03/14/2016;10:19 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11156053231589, -87.9355307514571];1957 W VILLARD AV
25;160730107;03/13/2016;07:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10824347879261, -87.93353297155058];1818 W FAIRMOUNT AV
26;160720006;03/12/2016;12:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
27;160710018;03/11/2016;02:14 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.122672220093506, -87.9633563280341];5754 N 41ST ST
28;160700099;03/10/2016;05:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11907951399405, -87.95589227699232];3425 W SILVER SPRING DR
29;160690130;03/09/2016;11:58 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14504383097695, -87.95537837826784];7000 N TEUTONIA AV
30;160690167;03/09/2016;11:18 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111934474897474, -87.95812049999999];3616 W VILLARD AV
31;160670069;03/07/2016;02:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125265915991505, -87.96610299759617];5916 N SHERMAN BL
32;160660042;03/06/2016;08:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11188648124544, -87.9622425];3927 W VILLARD AV
33;160650041;03/05/2016;11:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105846789411856, -87.97271104951126];4823 N 48TH ST
34;160650123;03/05/2016;09:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1266382933873, -87.9600600884629];3824 W FLORIST AV
35;160630100;03/03/2016;07:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11925251154119, -87.95714358090484];3526 W SILVER SPRING DR
36;160630120;03/03/2016;10:52 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12572383819031, -87.96464862479058];5943 N 42ND ST
37;160610004;03/01/2016;12:32 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14145733314082, -87.95480024069451];6811 N TEUTONIA AV
38;160610055;03/01/2016;03:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11807241326679, -87.96461437910455];5526 N 42ND ST
39;160610085;03/01/2016;06:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14945951624266, -87.95919177464667];7233 N 38TH ST
