;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;163650084;12/30/2016;03:07 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09047919900166, -87.94575057372015];4027 N 26TH ST
1;163630066;12/28/2016;11:39 AM;4.0;THEFT FROM BUILDING;;;;;[43.130041791457984, -87.95234819023077];6203 N TEUTONIA AV
2;163620014;12/27/2016;01:28 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09978444463039, -87.94799059925535];4537 N 28TH ST
3;163610088;12/26/2016;02:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105185419095164, -87.96784909925536];4823 N 44TH ST
4;163570060;12/22/2016;07:08 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
5;163550041;12/20/2016;01:10 PM;4.0;THEFT FROM BUILDING;;;;;[43.13899103165207, -87.95394672162362];6680 N TEUTONIA AV
6;163540016;12/19/2016;08:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11929826922772, -87.94877482321382];2920 W SILVER SPRING DR
7;163540100;12/19/2016;09:09 PM;7.0;THEFT FROM BUILDING;;;;;[43.10440953563411, -87.94560293060769];2601 W HAMPTON AV
8;163510045;12/16/2016;01:55 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
9;163500101;12/15/2016;11:00 PM;4.0;THEFT FROM BUILDING;;;;;[43.13069515196701, -87.95240548070073];6223 N TEUTONIA AV
10;163470015;12/12/2016;06:11 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09316378711987, -87.94692014715088];4201 N 27TH ST
11;163470050;12/12/2016;01:48 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09071191035258, -87.94566237131427];4060 N 26TH ST
